Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
Serial,call,100,110,0.02,0.75,1,1000000,0,0,0.096898711,0.096860713,26.43782816,-0.1743808487
Serial,call,100,110,0.02,0.75,1,2000000,0,0,0.191419717,0.191410606,26.53683919,-0.07536982001
Serial,call,100,110,0.02,0.75,1,5000000,0,0,0.467683097,0.467673816,26.59466988,-0.01753912781
Serial,call,100,110,0.02,0.75,1,7500000,0,0,0.703993137,0.703976524,26.56881719,-0.0433918183
Serial,call,100,110,0.02,0.75,1,10000000,0,0,0.942989465,0.942972279,26.61801942,0.005810410043
Serial,call,100,110,0.02,0.75,1,25000000,0,0,2.332252415,2.332247964,26.62596972,0.01376071132
Serial,call,100,110,0.02,0.75,1,50000000,0,0,4.780819942,4.780815076,26.62287426,0.01066524954
Serial,call,100,110,0.02,0.75,1,75000000,0,0,7.128000936,7.127995152,26.62146477,0.009255760445
Serial,call,100,110,0.02,0.75,1,100000000,0,0,9.290762086,9.290754326,26.61265625,0.0004472402798
OMP,call,100,110,0.02,0.75,1,1000000,0,1,0.096905975,0.096896086,26.60087394,-0.01133506533
OMP,call,100,110,0.02,0.75,1,1000000,0,5,0.026161246,0.026148989,26.57910013,-0.03310887971
OMP,call,100,110,0.02,0.75,1,1000000,0,10,0.015240447,0.015220699,26.41808873,-0.1941202838
OMP,call,100,110,0.02,0.75,1,1000000,0,25,0.008538205,0.008529908,26.65230296,0.0400939491
OMP,call,100,110,0.02,0.75,1,1000000,0,50,0.008474723,0.008466271,26.82567065,0.2134616414
OMP,call,100,110,0.02,0.75,1,1000000,0,100,0.008421739,0.008412022,26.74490484,0.1326958333
OMP,call,100,110,0.02,0.75,1,2000000,0,1,0.192954289,0.192949328,26.62093608,0.008727074523
OMP,call,100,110,0.02,0.75,1,2000000,0,5,0.048703069,0.048696952,26.72630677,0.1140977606
OMP,call,100,110,0.02,0.75,1,2000000,0,10,0.027606058,0.027595619,26.58419371,-0.02801530036
OMP,call,100,110,0.02,0.75,1,2000000,0,25,0.013598603,0.013587063,26.38591078,-0.2262982335
OMP,call,100,110,0.02,0.75,1,2000000,0,50,0.011684297,0.011678901,26.37519982,-0.2370091859
OMP,call,100,110,0.02,0.75,1,2000000,0,100,0.012900166,0.012894231,26.60980978,-0.002399229672
OMP,call,100,110,0.02,0.75,1,5000000,0,1,0.44639457,0.446386045,26.59253057,-0.01967844379
OMP,call,100,110,0.02,0.75,1,5000000,0,5,0.115044487,0.1150378,26.41885924,-0.1933497673
OMP,call,100,110,0.02,0.75,1,5000000,0,10,0.058831745,0.058816828,26.42307944,-0.1891295719
OMP,call,100,110,0.02,0.75,1,5000000,0,25,0.02866651,0.028657581,26.48990718,-0.1223018345
OMP,call,100,110,0.02,0.75,1,5000000,0,50,0.024980167,0.024975299,26.51552331,-0.09668569948
OMP,call,100,110,0.02,0.75,1,5000000,0,100,0.024431096,0.024427182,26.4601618,-0.1520472091
OMP,call,100,110,0.02,0.75,1,7500000,0,1,0.688708629,0.688704769,26.61262777,0.0004187557414
OMP,call,100,110,0.02,0.75,1,7500000,0,5,0.15330451,0.153292242,26.64044963,0.02824061744
OMP,call,100,110,0.02,0.75,1,7500000,0,10,0.081496079,0.08148384,26.65773825,0.0455292416
OMP,call,100,110,0.02,0.75,1,7500000,0,25,0.041956659,0.041945915,26.60576605,-0.006442956602
OMP,call,100,110,0.02,0.75,1,7500000,0,50,0.034659291,0.034652179,26.6602192,0.04801019446
OMP,call,100,110,0.02,0.75,1,7500000,0,100,0.035424417,0.03541769,26.67455121,0.06234220061
OMP,call,100,110,0.02,0.75,1,10000000,0,1,0.900595995,0.900591398,26.59868996,-0.01351904813
OMP,call,100,110,0.02,0.75,1,10000000,0,5,0.200301023,0.200292554,26.63389608,0.02168707454
OMP,call,100,110,0.02,0.75,1,10000000,0,10,0.104154629,0.104149191,26.59308814,-0.01912086586
OMP,call,100,110,0.02,0.75,1,10000000,0,25,0.053352569,0.05334299,26.58208003,-0.03012897623
OMP,call,100,110,0.02,0.75,1,10000000,0,50,0.0455367,0.045523392,26.53615714,-0.07605187266
OMP,call,100,110,0.02,0.75,1,10000000,0,100,0.046053093,0.046044244,26.5482848,-0.06392420625
OMP,call,100,110,0.02,0.75,1,25000000,0,1,2.333988717,2.333980743,26.60899739,-0.003211623624
OMP,call,100,110,0.02,0.75,1,25000000,0,5,0.489277891,0.48925098,26.61396821,0.00175920244
OMP,call,100,110,0.02,0.75,1,25000000,0,10,0.248375089,0.248361378,26.62083738,0.008628372075
OMP,call,100,110,0.02,0.75,1,25000000,0,25,0.12454085,0.124530878,26.61684085,0.004631844746
OMP,call,100,110,0.02,0.75,1,25000000,0,50,0.108164686,0.10815922,26.61343302,0.001224012016
OMP,call,100,110,0.02,0.75,1,25000000,0,100,0.108521707,0.108515384,26.53118641,-0.08102260481
OMP,call,100,110,0.02,0.75,1,50000000,0,1,4.671582912,4.67157716,26.62314681,0.01093779505
