Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
Serial,call,100,110,0.02,0.75,1,1000,200,0,0.026493155,0.02648338,28.43072536,1.817931524
Serial,call,100,110,0.02,0.75,1,10000,200,0,0.236041986,0.236037121,26.97462626,0.3618324196
Serial,call,100,110,0.02,0.75,1,10000,1000,0,1.234153311,1.234144268,26.13138431,-0.4814095278
Serial,call,100,110,0.02,0.75,1,25000,200,0,0.619701603,0.619692042,26.86072938,0.2479355362
Serial,call,100,110,0.02,0.75,1,25000,1000,0,2.951468333,2.951453135,26.45396824,-0.1588255992
Serial,call,100,110,0.02,0.75,1,50000,200,0,1.218579009,1.218571984,26.30082486,-0.3119689796
Serial,call,100,110,0.02,0.75,1,50000,1000,0,6.013813281,6.013800897,26.35688491,-0.2559089272
Serial,call,100,110,0.02,0.75,1,75000,200,0,1.847745387,1.847735604,26.51172849,-0.10106535
Serial,call,100,110,0.02,0.75,1,75000,1000,0,9.130119844,9.130110475,26.49928946,-0.1135043807
Serial,call,100,110,0.02,0.75,1,100000,200,0,2.460360069,2.460353268,26.45453001,-0.1582638264
Serial,call,100,110,0.02,0.75,1,100000,1000,0,12.31542935,12.31541019,26.4130048,-0.1997890427
OMP,call,100,110,0.02,0.75,1,1000,200,1,0.030392254,0.03034604,25.71327763,-0.8995162118
OMP,call,100,110,0.02,0.75,1,1000,200,5,0.039740075,0.039728137,25.71327763,-0.8995162118
OMP,call,100,110,0.02,0.75,1,1000,200,10,0.031604912,0.031599623,25.71327763,-0.8995162118
OMP,call,100,110,0.02,0.75,1,1000,200,25,0.044330695,0.04431861,25.71327763,-0.8995162118
OMP,call,100,110,0.02,0.75,1,1000,200,32,0.098394133,0.098388781,25.71327763,-0.8995162118
OMP,call,100,110,0.02,0.75,1,1000,200,50,0.162513813,0.162505426,25.71327763,-0.8995162118
OMP,call,100,110,0.02,0.75,1,1000,200,64,0.18344391,0.183431537,25.37393283,-1.238861013
OMP,call,100,110,0.02,0.75,1,1000,200,100,0.23129247,0.231273542,25.37393283,-1.238861013
OMP,call,100,110,0.02,0.75,1,1000,200,125,0.27573719,0.275727579,25.37393283,-1.238861013
OMP,call,100,110,0.02,0.75,1,1000,1000,1,0.120171233,0.120158859,24.47721186,-2.135581983
OMP,call,100,110,0.02,0.75,1,1000,1000,5,0.131655843,0.131642606,24.47721186,-2.135581983
OMP,call,100,110,0.02,0.75,1,1000,1000,10,0.159597803,0.159588639,27.1049415,0.4921476613
OMP,call,100,110,0.02,0.75,1,1000,1000,25,0.160754047,0.160741878,27.1049415,0.4921476613
OMP,call,100,110,0.02,0.75,1,1000,1000,32,0.237261076,0.237255282,27.1049415,0.4921476613
OMP,call,100,110,0.02,0.75,1,1000,1000,50,0.794532531,0.794525569,27.1049415,0.4921476613
OMP,call,100,110,0.02,0.75,1,1000,1000,64,0.886169785,0.886159911,26.97565253,0.3628586942
OMP,call,100,110,0.02,0.75,1,1000,1000,100,1.092630895,1.092615132,29.15558481,2.542790971
OMP,call,100,110,0.02,0.75,1,1000,1000,125,1.298089205,1.298077089,29.73887634,3.126082499
OMP,call,100,110,0.02,0.75,1,10000,200,1,0.234362075,0.234349565,26.24416539,-0.3686284474
OMP,call,100,110,0.02,0.75,1,10000,200,5,0.193111292,0.193098308,25.63131211,-0.9814817278
OMP,call,100,110,0.02,0.75,1,10000,200,10,0.229366277,0.229346667,26.20865278,-0.4041410638
OMP,call,100,110,0.02,0.75,1,10000,200,25,0.246189948,0.24617752,26.20865278,-0.4041410638
OMP,call,100,110,0.02,0.75,1,10000,200,32,0.232991778,0.23298467,26.20865278,-0.4041410638
OMP,call,100,110,0.02,0.75,1,10000,200,50,0.317014055,0.317008434,26.20865278,-0.4041410638
OMP,call,100,110,0.02,0.75,1,10000,200,64,0.341029546,0.341011497,26.75790521,0.1451113692
OMP,call,100,110,0.02,0.75,1,10000,200,100,0.407999115,0.407989825,26.75790521,0.1451113692
