Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,1000,200,0,1,0.064010209,0.063960503,13.42901612,0.4309838848,-0.4309838848
Serial,call,100,110,0.02,0.75,1,1000,1000,0,1,0.301063931,0.301031235,14.36204968,0.5020496779,0.5020496779
Serial,call,100,110,0.02,0.75,1,2500,200,0,1,0.14901577,0.148996404,13.8928043,0.03280430112,0.03280430112
Serial,call,100,110,0.02,0.75,1,2500,1000,0,1,0.734768717,0.734737294,13.99936193,0.1393619253,0.1393619253
Serial,call,100,110,0.02,0.75,1,5000,200,0,1,0.288379748,0.288347707,13.81340996,0.04659004244,-0.04659004244
Serial,call,100,110,0.02,0.75,1,5000,1000,0,1,1.460984841,1.460948119,14.31964605,0.4596460495,0.4596460495
Serial,call,100,110,0.02,0.75,1,7500,200,0,1,0.444168323,0.444137339,13.54709658,0.312903421,-0.312903421
Serial,call,100,110,0.02,0.75,1,7500,1000,0,1,2.167133646,2.167102271,13.95528321,0.09528321016,0.09528321016
Serial,call,100,110,0.02,0.75,1,10000,200,0,1,0.593811556,0.593774199,14.31463291,0.4546329108,0.4546329108
Serial,call,100,110,0.02,0.75,1,10000,1000,0,1,3.044109024,3.044078598,13.79745262,0.06254737836,-0.06254737836
Serial,call,100,110,0.02,0.75,1,25000,200,0,1,1.499067003,1.499052748,13.52143806,0.3385619418,-0.3385619418
Serial,call,100,110,0.02,0.75,1,25000,1000,0,1,7.230372824,7.230344209,13.83280664,0.02719335938,-0.02719335938
Serial,call,100,110,0.02,0.75,1,50000,200,0,1,2.909116813,2.909078166,13.75511045,0.1048895474,-0.1048895474
Serial,call,100,110,0.02,0.75,1,50000,1000,0,1,14.73286025,14.73282742,13.85121521,0.008784787051,-0.008784787051
Serial,call,100,110,0.02,0.75,1,75000,200,0,1,4.439710861,4.439678854,13.90326274,0.04326273937,0.04326273937
Serial,call,100,110,0.02,0.75,1,75000,1000,0,1,22.10287089,22.10283147,13.98448908,0.124489082,0.124489082
Serial,call,100,110,0.02,0.75,1,100000,200,0,1,6.506901627,6.506880362,13.62139383,0.2386061698,-0.2386061698
Serial,call,100,110,0.02,0.75,1,100000,1000,0,1,29.56640069,29.56638468,13.72476077,0.1352392264,-0.1352392264
Serial,call,100,110,0.02,0.75,1,250000,200,0,1,14.67494049,14.67491046,13.62934789,0.2306521113,-0.2306521113
Serial,call,100,110,0.02,0.75,1,250000,1000,0,1,72.59739244,72.59735363,13.71298001,0.1470199856,-0.1470199856
Serial,call,100,110,0.02,0.75,1,500000,200,0,1,29.41346653,29.41344192,13.6246627,0.2353373046,-0.2353373046
Serial,call,100,110,0.02,0.75,1,500000,1000,0,1,145.0115543,145.0115318,13.77206661,0.08793339443,-0.08793339443
Serial,call,100,110,0.02,0.75,1,750000,200,0,1,43.83212337,43.83208826,13.66135794,0.1986420592,-0.1986420592
Serial,call,100,110,0.02,0.75,1,750000,1000,0,1,218.8991569,218.8991185,13.77309535,0.08690464922,-0.08690464922
Serial,call,100,110,0.02,0.75,1,1000000,200,0,1,58.58778706,58.58776247,13.65495028,0.2050497221,-0.2050497221
Serial,call,100,110,0.02,0.75,1,1000000,1000,0,1,292.0907375,292.0907156,13.7351548,0.1248452028,-0.1248452028
OMP,call,100,110,0.02,0.75,1,1000,200,1,1,0.058657824,0.058618691,13.80084023,0.05915976634,-0.05915976634
OMP,call,100,110,0.02,0.75,1,1000,200,5,1,0.059019418,0.059000153,13.78979259,0.07020740641,-0.07020740641
OMP,call,100,110,0.02,0.75,1,1000,200,10,1,0.059468281,0.059450536,13.79476238,0.06523761848,-0.06523761848
OMP,call,100,110,0.02,0.75,1,1000,200,25,1,0.072742544,0.072707712,13.79883867,0.06116133144,-0.06116133144
