Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,10000,200,0,1,0.384838406,0.384784632,26.73287581,0.1200819686,0.1200819686
Serial,call,100,110,0.02,0.75,1,10000,1000,0,1,1.714210968,1.714188217,26.21180835,0.4009854896,-0.4009854896
Serial,call,100,110,0.02,0.75,1,25000,200,0,1,1.026894665,1.02687829,26.72940086,0.116607019,0.116607019
Serial,call,100,110,0.02,0.75,1,25000,1000,0,1,4.877534497,4.877490426,26.18355292,0.4292409179,-0.4292409179
Serial,call,100,110,0.02,0.75,1,50000,200,0,1,1.977671977,1.97764647,26.47498639,0.137807451,-0.137807451
Serial,call,100,110,0.02,0.75,1,50000,1000,0,1,9.706515725,9.70648494,26.07463033,0.538163509,-0.538163509
Serial,call,100,110,0.02,0.75,1,75000,200,0,1,3.039589856,3.039558626,26.52393915,0.08885468665,-0.08885468665
Serial,call,100,110,0.02,0.75,1,100000,200,0,1,3.988543209,3.988502528,26.34543186,0.2673619774,-0.2673619774
Serial,call,100,110,0.02,0.75,1,250000,200,0,1,10.40164371,10.40161018,26.55599225,0.05680158563,-0.05680158563
Serial,call,100,110,0.02,0.75,1,250000,1000,0,1,53.22344695,53.22342892,26.30169777,0.3110960707,-0.3110960707
Serial,call,100,110,0.02,0.75,1,500000,200,0,1,21.2070359,21.20700885,26.40041682,0.2123770237,-0.2123770237
Serial,call,100,110,0.02,0.75,1,500000,1000,0,1,108.9513081,108.9512756,26.39489682,0.217897018,-0.217897018
Serial,call,100,110,0.02,0.75,1,750000,200,0,1,32.76527639,32.76524235,26.36349832,0.2492955161,-0.2492955161
Serial,call,100,110,0.02,0.75,1,750000,1000,0,1,164.4164442,164.4164108,26.32757311,0.2852207305,-0.2852207305
Serial,call,100,110,0.02,0.75,1,1000000,200,0,1,43.76032781,43.76030583,26.37350712,0.2392867207,-0.2392867207
Serial,call,100,110,0.02,0.75,1,1000000,1000,0,1,226.341802,226.3417696,26.34310866,0.2696851814,-0.2696851814
OMP,call,100,110,0.02,0.75,1,10000,200,1,1,0.515703018,0.5156492,26.66808465,0.05529081034,0.05529081034
OMP,call,100,110,0.02,0.75,1,10000,200,5,1,0.408656444,0.408614274,26.64346426,0.03067041586,0.03067041586
OMP,call,100,110,0.02,0.75,1,10000,200,10,1,0.452315292,0.452268589,26.64346426,0.03067041586,0.03067041586
OMP,call,100,110,0.02,0.75,1,10000,200,25,1,0.423626344,0.42360968,26.64172115,0.02892730692,0.02892730692
OMP,call,100,110,0.02,0.75,1,10000,200,32,1,0.443949926,0.443929787,26.64172115,0.02892730692,0.02892730692
OMP,call,100,110,0.02,0.75,1,10000,200,50,1,0.548614522,0.548599355,26.64446827,0.0316744346,0.0316744346
OMP,call,100,110,0.02,0.75,1,10000,200,64,1,0.628770362,0.628746101,26.63359624,0.02080239563,0.02080239563
OMP,call,100,110,0.02,0.75,1,10000,200,100,1,0.56909653,0.569077666,26.62266566,0.009871824944,0.009871824944
OMP,call,100,110,0.02,0.75,1,10000,200,125,1,0.63082245,0.630805724,26.62266566,0.009871824944,0.009871824944
OMP,call,100,110,0.02,0.75,1,10000,1000,1,1,2.220916701,2.220882398,25.64198172,0.9708121155,-0.9708121155
OMP,call,100,110,0.02,0.75,1,10000,1000,5,1,1.872482614,1.872466918,25.6337255,0.9790683415,-0.9790683415
OMP,call,100,110,0.02,0.75,1,10000,1000,10,1,1.836386973,1.83637131,25.63836578,0.9744280562,-0.9744280562
OMP,call,100,110,0.02,0.75,1,10000,1000,25,1,1.916811307,1.916792316,25.63227856,0.9805152791,-0.9805152791
