Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,100000,0,0,1,0.020629588,0.020578308,26.50016687,0.1120421388,-0.1120421388
Serial,call,100,110,0.02,0.75,1,250000,0,0,1,0.043378509,0.043356437,26.86597741,0.2537684032,0.2537684032
Serial,call,100,110,0.02,0.75,1,500000,0,0,1,0.085005117,0.084975662,26.82443364,0.2122246273,0.2122246273
Serial,call,100,110,0.02,0.75,1,750000,0,0,1,0.126834553,0.126804036,26.66706387,0.05485485875,0.05485485875
Serial,call,100,110,0.02,0.75,1,1000000,0,0,1,0.167031941,0.167003415,26.63981062,0.02760161318,0.02760161318
Serial,call,100,110,0.02,0.75,1,2500000,0,0,1,0.426650833,0.426629597,26.64363476,0.03142574778,0.03142574778
Serial,call,100,110,0.02,0.75,1,5000000,0,0,1,0.828117813,0.828070419,26.61252349,0.0003144768566,0.0003144768566
Serial,call,100,110,0.02,0.75,1,7500000,0,0,1,1.229708628,1.229679128,26.58187405,0.03033495695,-0.03033495695
Serial,call,100,110,0.02,0.75,1,10000000,0,0,1,1.6243307,1.624300768,26.62560812,0.01339910706,0.01339910706
Serial,call,100,110,0.02,0.75,1,25000000,0,0,1,4.001534253,4.001515154,26.62373727,0.01152826023,0.01152826023
Serial,call,100,110,0.02,0.75,1,50000000,0,0,1,8.125287534,8.125246285,26.6061051,0.006103912214,-0.006103912214
Serial,call,100,110,0.02,0.75,1,75000000,0,0,1,12.32666001,12.32664488,26.61380873,0.00159972178,0.00159972178
Serial,call,100,110,0.02,0.75,1,100000000,0,0,1,16.64451999,16.64449173,26.61791907,0.005710055433,0.005710055433
Serial,call,100,110,0.02,0.75,1,250000000,0,0,1,41.21033411,41.21031549,26.60791736,0.00429164506,-0.00429164506
Serial,call,100,110,0.02,0.75,1,500000000,0,0,1,81.71051846,81.71050147,26.60836603,0.003842984108,-0.003842984108
Serial,call,100,110,0.02,0.75,1,750000000,0,0,1,120.8267455,120.8267145,26.6113726,0.0008364137148,-0.0008364137148
Serial,call,100,110,0.02,0.75,1,1000000000,0,0,1,161.5557871,161.5557591,26.61068467,0.001524339189,-0.001524339189
OMP,call,100,110,0.02,0.75,1,100000,0,1,1,0.020138815,0.020087431,26.44205625,0.1701527596,-0.1701527596
OMP,call,100,110,0.02,0.75,1,100000,0,5,1,0.008702937,0.008666202,26.29103183,0.3211771848,-0.3211771848
OMP,call,100,110,0.02,0.75,1,100000,0,10,1,0.003833857,0.003821153,26.3871094,0.2250996051,-0.2250996051
OMP,call,100,110,0.02,0.75,1,100000,0,25,1,0.004638089,0.004618525,26.47639985,0.1358091586,-0.1358091586
