Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,100,0,0,1,0.000565919,0.000488553,26.70698005,0.09473429551,0.09473429551
Serial_vanilla,call,100,110,0.02,0.75,1,100,0,0,1,0.000132948,0.000101406,26.70698005,0.09473429551,0.09473429551
Serial,call,100,110,0.02,0.75,1,800,0,0,1,0.012424957,0.012403964,26.61900432,0.00675856766,0.00675856766
Serial_vanilla,call,100,110,0.02,0.75,1,800,0,0,1,0.003365635,0.003346438,26.61900432,0.006758567677,0.006758567677
Serial,call,100,110,0.02,0.75,1,1000,0,0,1,0.020334019,0.020296112,26.60882645,0.00341930449,-0.00341930449
Serial_vanilla,call,100,110,0.02,0.75,1,1000,0,0,1,0.007185572,0.00715568,26.60882645,0.00341930445,-0.00341930445
Serial,call,100,110,0.02,0.75,1,1600,0,0,1,0.04504391,0.045019414,26.61872687,0.006481124526,0.006481124526
Serial_vanilla,call,100,110,0.02,0.75,1,1600,0,0,1,0.020108565,0.020051992,26.61872687,0.006481124373,0.006481124373
Serial,call,100,110,0.02,0.75,1,3200,0,0,1,0.172673961,0.172630427,26.61535275,0.003107003782,0.003107003782
Serial_vanilla,call,100,110,0.02,0.75,1,3200,0,0,1,0.050413198,0.050387274,26.61535275,0.003107003012,0.003107003012
Serial,call,100,110,0.02,0.75,1,6400,0,0,1,0.682666729,0.682634796,26.61230853,6.277959413e-05,6.277959413e-05
Serial_vanilla,call,100,110,0.02,0.75,1,6400,0,0,1,0.198848099,0.198808676,26.61230853,6.277952787e-05,6.277952787e-05
Serial,call,100,110,0.02,0.75,1,8000,0,0,1,1.06289844,1.062867124,26.61330534,0.001059591391,0.001059591391
Serial_vanilla,call,100,110,0.02,0.75,1,8000,0,0,1,0.293657644,0.293639618,26.61330534,0.00105959163,0.00105959163
Serial,call,100,110,0.02,0.75,1,10000,0,0,1,1.643859511,1.643832241,26.61316121,0.000915460068,0.000915460068
Serial_vanilla,call,100,110,0.02,0.75,1,10000,0,0,1,0.467367995,0.467336724,26.61316121,0.0009154599661,0.0009154599661
Serial,call,100,110,0.02,0.75,1,32000,0,0,1,16.55527312,16.55524092,26.61253166,0.0002859128362,0.0002859128362
Serial_vanilla,call,100,110,0.02,0.75,1,32000,0,0,1,4.71314855,4.713114304,26.61253166,0.0002859148898,0.0002859148898
Serial,call,100,110,0.02,0.75,1,64000,0,0,1,65.9797424,65.97970507,26.61223708,8.672583803e-06,-8.672583803e-06
Serial_vanilla,call,100,110,0.02,0.75,1,64000,0,0,1,18.39181729,18.3917774,26.61223706,8.685429556e-06,-8.685429556e-06
Serial,call,100,110,0.02,0.75,1,80000,0,0,1,103.2963565,103.2963232,26.61220685,3.889647725e-05,-3.889647725e-05
Serial_vanilla,call,100,110,0.02,0.75,1,80000,0,0,1,29.47811128,29.47807149,26.612207,3.875273625e-05,-3.875273625e-05
Serial,call,100,110,0.02,0.75,1,100000,0,0,1,161.8186855,161.8186392,26.61224575,2.178389025e-09,2.178389025e-09
Serial_vanilla,call,100,110,0.02,0.75,1,100000,0,0,1,45.64750344,45.64746423,26.61224575,1.185160414e-09,-1.185160414e-09
