Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Hybrid,call,100,110,0.02,0.75,1,10000,200,1001,1,0.940135664,0.651837354,28.41330668,1.800145466,1.800145466
Hybrid,call,100,110,0.02,0.75,1,10000,200,2002,1,0.613552808,0.317562574,26.80435009,0.1911888768,0.1911888768
Hybrid,call,100,110,0.02,0.75,1,10000,200,4004,1,0.471250398,0.165037535,25.76434318,0.8488180312,-0.8488180312
Hybrid,call,100,110,0.02,0.75,1,10000,200,6006,1,0.836581006,0.522156436,26.68477183,0.0716106222,0.0716106222
Hybrid,call,100,110,0.02,0.75,1,10000,200,8008,1,1.52644436,1.202291997,25.07817007,1.534991139,-1.534991139
Hybrid,call,100,110,0.02,0.75,1,80000,200,1001,1,5.060364389,4.767913082,26.35522753,0.2579336801,-0.2579336801
Hybrid,call,100,110,0.02,0.75,1,80000,200,2002,1,2.741579555,2.449946124,26.81111713,0.1979559199,0.1979559199
Hybrid,call,100,110,0.02,0.75,1,80000,200,4004,1,1.585249541,1.28862723,26.55070228,0.06245893043,-0.06245893043
Hybrid,call,100,110,0.02,0.75,1,80000,200,6006,1,1.41630321,1.105933277,26.42517547,0.187985739,-0.187985739
Hybrid,call,100,110,0.02,0.75,1,80000,200,8008,1,2.052094161,1.734571148,26.69546134,0.08230013409,0.08230013409
Hybrid,call,100,110,0.02,0.75,1,100000,200,1001,1,6.418305237,6.135580889,26.87626254,0.2631013266,0.2631013266
Hybrid,call,100,110,0.02,0.75,1,100000,200,2002,1,3.279544538,2.985122252,26.74738578,0.1342245718,0.1342245718
Hybrid,call,100,110,0.02,0.75,1,100000,200,4004,1,1.813133506,1.510742208,26.44888717,0.1642740379,-0.1642740379
Hybrid,call,100,110,0.02,0.75,1,100000,200,6006,1,1.663141473,1.352018494,26.58644063,0.02672057998,-0.02672057998
Hybrid,call,100,110,0.02,0.75,1,100000,200,8008,1,2.157820376,1.829535528,26.66619481,0.05303359887,0.05303359887
Hybrid,call,100,110,0.02,0.75,1,160000,200,1001,1,13.06505174,12.78560788,26.72385214,0.1106909253,0.1106909253
Hybrid,call,100,110,0.02,0.75,1,160000,200,2002,1,5.315983375,5.028652249,26.7844851,0.1713238943,0.1713238943
Hybrid,call,100,110,0.02,0.75,1,160000,200,4004,1,2.671405864,2.366800832,26.59145111,0.02171010431,-0.02171010431
Hybrid,call,100,110,0.02,0.75,1,160000,200,6006,1,2.255475052,1.95121007,26.26960659,0.3435546238,-0.3435546238
Hybrid,call,100,110,0.02,0.75,1,160000,200,8008,1,2.539815659,2.222497215,26.46207517,0.1510860378,-0.1510860378
Hybrid,call,100,110,0.02,0.75,1,320000,200,1001,1,22.06340675,21.77587999,26.55005109,0.06311012027,-0.06311012027
Hybrid,call,100,110,0.02,0.75,1,320000,200,2002,1,11.52707768,11.23315724,26.64620421,0.03304299835,0.03304299835
Hybrid,call,100,110,0.02,0.75,1,320000,200,4004,1,6.532861975,6.225107185,26.87688219,0.263720982,0.263720982
Hybrid,call,100,110,0.02,0.75,1,320000,200,6006,1,4.659356657,4.352089104,26.38467321,0.2284879959,-0.2284879959
Hybrid,call,100,110,0.02,0.75,1,320000,200,8008,1,3.961768344,3.645011305,26.37236803,0.240793175,-0.240793175
Hybrid,call,100,110,0.02,0.75,1,640000,200,1001,1,44.00647878,43.72765406,26.61003075,0.003130459263,-0.003130459263
Hybrid,call,100,110,0.02,0.75,1,640000,200,2002,1,29.32293505,29.03039374,26.71138817,0.09822695789,0.09822695789
Hybrid,call,100,110,0.02,0.75,1,640000,200,4004,1,11.44379051,11.13908637,26.73636455,0.1232033416,0.1232033416
Hybrid,call,100,110,0.02,0.75,1,640000,200,6006,1,9.36509236,9.048629292,26.62324443,0.01008322077,0.01008322077
Hybrid,call,100,110,0.02,0.75,1,640000,200,8008,1,7.916051435,7.598735623,26.67384249,0.06068128341,0.06068128341
Hybrid,call,100,110,0.02,0.75,1,800000,200,1001,1,55.55040882,55.25865476,26.64236253,0.02920131768,0.02920131768
Hybrid,call,100,110,0.02,0.75,1,800000,200,2002,1,30.76518661,30.47559685,26.66420275,0.05104154463,0.05104154463
Hybrid,call,100,110,0.02,0.75,1,800000,200,4004,1,12.96207539,12.66109572,26.61341241,0.0002512027517,0.0002512027517
Hybrid,call,100,110,0.02,0.75,1,800000,200,6006,1,9.376966602,9.050774725,26.6104954,0.002665811023,-0.002665811023
Hybrid,call,100,110,0.02,0.75,1,800000,200,8008,1,7.967804267,7.646535762,26.48783278,0.1253284291,-0.1253284291
Hybrid,call,100,110,0.02,0.75,1,1000000,200,1001,1,68.03459474,67.79839204,26.58065856,0.03250265236,-0.03250265236
Hybrid,call,100,110,0.02,0.75,1,1000000,200,2002,1,37.45434476,37.16877838,26.71775178,0.1045905671,0.1045905671
Hybrid,call,100,110,0.02,0.75,1,1000000,200,4004,1,21.91183936,21.60904415,26.68610604,0.0729448347,0.0729448347
Hybrid,call,100,110,0.02,0.75,1,1000000,200,6006,1,14.69867207,14.38380231,26.57213944,0.0410217665,-0.0410217665
Hybrid,call,100,110,0.02,0.75,1,1000000,200,8008,1,12.58358776,12.26144839,26.70564573,0.09248452361,0.09248452361
Hybrid,call,100,110,0.02,0.75,1,1600000,200,1001,1,109.416693,109.1359354,26.63180875,0.01864753684,0.01864753684
Hybrid,call,100,110,0.02,0.75,1,1600000,200,2002,1,56.75016266,56.45849048,26.5926255,0.02053571443,-0.02053571443
Hybrid,call,100,110,0.02,0.75,1,1600000,200,4004,1,36.10217704,35.79118909,26.57365022,0.03951099223,-0.03951099223
Hybrid,call,100,110,0.02,0.75,1,1600000,200,6006,1,22.84015278,22.51476293,26.59075974,0.02240147364,-0.02240147364
Hybrid,call,100,110,0.02,0.75,1,1600000,200,8008,1,19.1435159,18.82905768,26.72528698,0.1121257714,0.1121257714
Hybrid,call,100,110,0.02,0.75,1,3200000,200,1001,1,253.7239585,253.4807401,26.66266675,0.04950553539,0.04950553539
Hybrid,call,100,110,0.02,0.75,1,3200000,200,2002,1,142.5309055,142.2349851,26.60922248,0.003938729751,-0.003938729751
Hybrid,call,100,110,0.02,0.75,1,3200000,200,4004,1,64.19868159,63.88999328,26.57981763,0.03334358145,-0.03334358145
Hybrid,call,100,110,0.02,0.75,1,3200000,200,6006,1,47.56513904,47.2521737,26.58698008,0.02618113043,-0.02618113043
Hybrid,call,100,110,0.02,0.75,1,3200000,200,8008,1,32.85176359,32.51941945,26.6088382,0.004323012682,-0.004323012682
Hybrid,call,100,110,0.02,0.75,1,6400000,200,1001,1,516.4279301,516.1447378,26.6318841,0.01872288553,0.01872288553
Hybrid,call,100,110,0.02,0.75,1,6400000,200,2002,1,263.1582642,262.8526,26.62045206,0.007290849052,0.007290849052
Hybrid,call,100,110,0.02,0.75,1,6400000,200,4004,1,123.5025502,123.1878986,26.64846268,0.03530147083,0.03530147083
Hybrid,call,100,110,0.02,0.75,1,6400000,200,6006,1,88.14867184,87.84333804,26.63493551,0.02177430121,0.02177430121
Hybrid,call,100,110,0.02,0.75,1,6400000,200,8008,1,67.51949801,67.192927,26.59152092,0.02164029482,-0.02164029482
Hybrid,call,100,110,0.02,0.75,1,8000000,200,1001,1,646.1033066,645.8699169,26.63138697,0.01822575607,0.01822575607
Hybrid,call,100,110,0.02,0.75,1,8000000,200,2002,1,343.464191,343.1639398,26.64118093,0.02801971897,0.02801971897
Hybrid,call,100,110,0.02,0.75,1,8000000,200,4004,1,156.8564668,156.5467479,26.62355116,0.01038995405,0.01038995405
Hybrid,call,100,110,0.02,0.75,1,8000000,200,6006,1,115.0354485,114.6941448,26.64715292,0.03399170772,0.03399170772
Hybrid,call,100,110,0.02,0.75,1,8000000,200,8008,1,89.50045703,89.15330305,26.61505515,0.001893935093,0.001893935093
Hybrid,call,100,110,0.02,0.75,1,10000000,200,1001,1,817.6433593,817.3621727,26.61887638,0.005715168028,0.005715168028
