Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
Serial,call,100,90,0.02,0.75,1,1024,50,0,0.015790728,0.015761643,20.3500037,-1.529996295
Serial,call,100,90,0.02,0.75,1,1024,100,0,0.023457455,0.023448018,21.07259397,-0.8074060293
Serial,call,100,90,0.02,0.75,1,1024,250,0,0.051832811,0.051823911,21.12500046,-0.7549995406
Serial,call,100,90,0.02,0.75,1,1024,500,0,0.096796934,0.09679228,20.1688329,-1.711167098
Serial,call,100,90,0.02,0.75,1,1024,750,0,0.145772304,0.145765271,21.64796002,-0.232039979
Serial,call,100,90,0.02,0.75,1,1024,1000,0,0.192725399,0.192715275,21.44679061,-0.4332093878
Serial,call,100,90,0.02,0.75,1,8192,50,0,0.084972959,0.08496306,21.49131143,-0.3886885658
Serial,call,100,90,0.02,0.75,1,8192,100,0,0.156558134,0.156547773,21.31153561,-0.5684643941
Serial,call,100,90,0.02,0.75,1,8192,250,0,0.38485056,0.384841571,21.29385733,-0.5861426673
Serial,call,100,90,0.02,0.75,1,8192,500,0,0.766433914,0.76642337,22.01775504,0.1377550381
Serial,call,100,90,0.02,0.75,1,8192,750,0,1.14870368,1.148693668,22.00237616,0.1223761577
Serial,call,100,90,0.02,0.75,1,8192,1000,0,1.52792601,1.527912203,21.22999786,-0.6500021421
Serial,call,100,90,0.02,0.75,1,16384,50,0,0.160102298,0.160085748,21.30259454,-0.5774054556
Serial,call,100,90,0.02,0.75,1,16384,100,0,0.314743673,0.314733269,21.45679927,-0.4232007317
Serial,call,100,90,0.02,0.75,1,16384,250,0,0.764204204,0.764190753,22.14403381,0.2640338082
Serial,call,100,90,0.02,0.75,1,16384,500,0,1.521046645,1.521029239,21.85097145,-0.02902854849
Serial,call,100,90,0.02,0.75,1,16384,750,0,2.276940419,2.276929657,21.77421628,-0.1057837162
Serial,call,100,90,0.02,0.75,1,16384,1000,0,3.022273543,3.022266195,21.63643595,-0.2435640522
Serial,call,100,90,0.02,0.75,1,65536,50,0,0.623005926,0.622995859,21.56589469,-0.3141053064
Serial,call,100,90,0.02,0.75,1,65536,100,0,1.252813214,1.252802922,21.63783061,-0.2421693857
Serial,call,100,90,0.02,0.75,1,65536,250,0,3.05144486,3.051438458,22.04946016,0.1694601619
Serial,call,100,90,0.02,0.75,1,65536,500,0,6.282519516,6.282512413,21.60780894,-0.2721910649
Serial,call,100,90,0.02,0.75,1,65536,750,0,9.113853181,9.113845881,21.74527121,-0.134728789
Serial,call,100,90,0.02,0.75,1,65536,1000,0,12.41491977,12.41491031,21.60422207,-0.2757779343
Serial,call,100,90,0.02,0.75,1,131072,50,0,1.224489942,1.224480097,21.46981148,-0.4101885199
Serial,call,100,90,0.02,0.75,1,131072,100,0,2.472729064,2.472719491,21.71506391,-0.1649360918
Serial,call,100,90,0.02,0.75,1,131072,250,0,6.069176421,6.06916991,21.78504483,-0.09495516822
Serial,call,100,90,0.02,0.75,1,131072,500,0,11.9679835,11.9679741,21.78850332,-0.09149668013
Serial,call,100,90,0.02,0.75,1,131072,750,0,18.05895753,18.05894057,21.4746174,-0.4053825964
Serial,call,100,90,0.02,0.75,1,131072,1000,0,24.46831429,24.46830666,21.60727213,-0.2727278749
OMP,call,100,90,0.02,0.75,1,1024,50,1,0.013627847,0.013603913,20.24990356,-1.630096445
OMP,call,100,90,0.02,0.75,1,1024,50,2,0.014325495,0.014314045,19.97376664,-1.906233356
OMP,call,100,90,0.02,0.75,1,1024,50,4,0.012631594,0.012623718,19.96550427,-1.91449573
OMP,call,100,90,0.02,0.75,1,1024,50,8,0.010328647,0.01031899,20.01743021,-1.862569795
OMP,call,100,90,0.02,0.75,1,1024,50,16,0.015018306,0.015007235,19.97157717,-1.908422826
OMP,call,100,90,0.02,0.75,1,1024,50,32,0.020432801,0.02042757,21.56657649,-0.3134235073
OMP,call,100,90,0.02,0.75,1,1024,50,64,0.022517943,0.022506955,21.58178822,-0.2982117768
OMP,call,100,90,0.02,0.75,1,1024,100,1,0.023574144,0.023563089,22.19882216,0.3188221609
OMP,call,100,90,0.02,0.75,1,1024,100,2,0.018999525,0.018995394,22.44574942,0.5657494216
OMP,call,100,90,0.02,0.75,1,1024,100,4,0.021751124,0.021715814,22.48352418,0.6035241755
OMP,call,100,90,0.02,0.75,1,1024,100,8,0.0196866,0.019679037,22.48927852,0.6092785243
OMP,call,100,90,0.02,0.75,1,1024,100,16,0.025612348,0.025593583,22.48024067,0.6002406692
OMP,call,100,90,0.02,0.75,1,1024,100,32,0.024085107,0.024066683,22.45531411,0.5753141072
OMP,call,100,90,0.02,0.75,1,1024,100,64,0.022503939,0.022497648,22.48014653,0.6001465319
OMP,call,100,90,0.02,0.75,1,1024,250,1,0.051681645,0.051669958,21.40252884,-0.4774711607
OMP,call,100,90,0.02,0.75,1,1024,250,2,0.052298697,0.052287281,21.64621459,-0.2337854111
OMP,call,100,90,0.02,0.75,1,1024,250,4,0.051882334,0.051863761,21.65623887,-0.2237611258
OMP,call,100,90,0.02,0.75,1,1024,250,8,0.047464834,0.047452942,21.64807703,-0.2319229697
OMP,call,100,90,0.02,0.75,1,1024,250,16,0.053093561,0.053082994,21.64987975,-0.2301202548
OMP,call,100,90,0.02,0.75,1,1024,250,32,0.048698424,0.048686827,21.64806296,-0.2319370361
OMP,call,100,90,0.02,0.75,1,1024,250,64,0.059298932,0.059280113,21.64354131,-0.2364586882
OMP,call,100,90,0.02,0.75,1,1024,500,1,0.103888452,0.103863128,20.86923598,-1.010764017
