Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
MPI,put,100,90,0.02,0.75,1,1000,200,1,1,0.304223351,0.058856646,10.7421576,10.7421576,10.7421576
MPI,put,100,90,0.02,0.75,1,1000,200,5,1,0.286851711,0.02395128,10.86629949,10.86629949,10.86629949
MPI,put,100,90,0.02,0.75,1,1000,200,10,1,0.290295808,0.010758075,11.07409768,11.07409768,11.07409768
MPI,put,100,90,0.02,0.75,1,1000,200,25,1,0.33210633,0.010643667,11.54383653,11.54383653,11.54383653
MPI,put,100,90,0.02,0.75,1,1000,200,32,1,0.393013689,0.011924704,11.95434103,11.95434103,11.95434103
MPI,put,100,90,0.02,0.75,1,1000,200,50,1,0.476900268,0.012719306,11.30284421,11.30284421,11.30284421
MPI,put,100,90,0.02,0.75,1,1000,200,64,1,0.601670902,0.017307298,10.69380837,10.69380837,10.69380837
MPI,put,100,90,0.02,0.75,1,1000,200,100,1,0.905347085,0.013146936,10.87350606,10.87350606,10.87350606
MPI,put,100,90,0.02,0.75,1,1000,200,125,1,1.115680284,0.024079451,9.741845409,9.741845409,9.741845409
MPI,put,100,90,0.02,0.75,1,1000,1000,1,1,0.54599943,0.302564766,11.03576543,11.03576543,11.03576543
MPI,put,100,90,0.02,0.75,1,1000,1000,5,1,0.325847415,0.064014206,11.19853687,11.19853687,11.19853687
MPI,put,100,90,0.02,0.75,1,1000,1000,10,1,0.334903812,0.055869494,10.76525276,10.76525276,10.76525276
MPI,put,100,90,0.02,0.75,1,1000,1000,25,1,0.359381553,0.031968096,10.69704368,10.69704368,10.69704368
MPI,put,100,90,0.02,0.75,1,1000,1000,32,1,0.407980065,0.036497398,10.87507105,10.87507105,10.87507105
MPI,put,100,90,0.02,0.75,1,1000,1000,50,1,0.494693069,0.024513219,11.3436366,11.3436366,11.3436366
MPI,put,100,90,0.02,0.75,1,1000,1000,64,1,0.597386389,0.029736239,10.85664442,10.85664442,10.85664442
MPI,put,100,90,0.02,0.75,1,1000,1000,100,1,0.968843015,0.01946742,11.12314631,11.12314631,11.12314631
MPI,put,100,90,0.02,0.75,1,1000,1000,125,1,1.202274056,0.018314155,10.95811918,10.95811918,10.95811918
MPI,put,100,90,0.02,0.75,1,2500,200,1,1,0.387510643,0.144805606,11.19460297,11.19460297,11.19460297
MPI,put,100,90,0.02,0.75,1,2500,200,5,1,0.312837515,0.057101631,10.84222989,10.84222989,10.84222989
MPI,put,100,90,0.02,0.75,1,2500,200,10,1,0.297632495,0.033302493,11.01701113,11.01701113,11.01701113
MPI,put,100,90,0.02,0.75,1,2500,200,25,1,0.331338183,0.023924167,11.05833907,11.05833907,11.05833907
MPI,put,100,90,0.02,0.75,1,2500,200,32,1,0.369386592,0.01146418,10.65436695,10.65436695,10.65436695
MPI,put,100,90,0.02,0.75,1,2500,200,50,1,0.501635861,0.018887141,10.84742872,10.84742872,10.84742872
MPI,put,100,90,0.02,0.75,1,2500,200,64,1,0.663412444,0.016061526,10.99657595,10.99657595,10.99657595
MPI,put,100,90,0.02,0.75,1,2500,200,100,1,0.820165462,0.025057879,10.90787356,10.90787356,10.90787356
MPI,put,100,90,0.02,0.75,1,2500,200,125,1,1.007607587,0.02391874,10.88933493,10.88933493,10.88933493
MPI,put,100,90,0.02,0.75,1,2500,1000,1,1,0.923135707,0.682257782,10.7151393,10.7151393,10.7151393
MPI,put,100,90,0.02,0.75,1,2500,1000,5,1,0.409492486,0.157090232,9.999695495,9.999695495,9.999695495
MPI,put,100,90,0.02,0.75,1,2500,1000,10,1,0.388941412,0.123436226,10.90844358,10.90844358,10.90844358
MPI,put,100,90,0.02,0.75,1,2500,1000,25,1,0.394016707,0.078108929,11.05219012,11.05219012,11.05219012
MPI,put,100,90,0.02,0.75,1,2500,1000,32,1,0.426351657,0.084877732,10.80706405,10.80706405,10.80706405
MPI,put,100,90,0.02,0.75,1,2500,1000,50,1,0.529209689,0.037979554,10.67470021,10.67470021,10.67470021
MPI,put,100,90,0.02,0.75,1,2500,1000,64,1,0.627996242,0.062448734,11.07951526,11.07951526,11.07951526
MPI,put,100,90,0.02,0.75,1,2500,1000,100,1,0.922548941,0.054548394,11.21487742,11.21487742,11.21487742
