Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
OMP,put,100,90,0.02,0.75,1,750000,200,1,1,42.87199779,42.8719439,10.92955775,0.1504422463,-0.1504422463
OMP,put,100,90,0.02,0.75,1,750000,200,5,1,8.870073807,8.870029243,10.94873529,0.1312647125,-0.1312647125
OMP,put,100,90,0.02,0.75,1,750000,200,10,1,4.497533369,4.497497722,10.89913523,0.180864772,-0.180864772
OMP,put,100,90,0.02,0.75,1,750000,200,25,1,1.864108495,1.864073469,10.82066698,0.259333023,-0.259333023
OMP,put,100,90,0.02,0.75,1,750000,200,32,1,1.762072127,1.762056914,10.90450635,0.1754936506,-0.1754936506
OMP,put,100,90,0.02,0.75,1,750000,200,50,1,1.690144242,1.690101921,10.82220253,0.2577974658,-0.2577974658
OMP,put,100,90,0.02,0.75,1,750000,200,64,1,1.727095708,1.727047039,10.92270408,0.1572959191,-0.1572959191
OMP,put,100,90,0.02,0.75,1,750000,200,100,1,1.763833816,1.763804325,10.94060041,0.139399588,-0.139399588
OMP,put,100,90,0.02,0.75,1,750000,200,125,1,1.81135332,1.811333072,10.93871784,0.1412821642,-0.1412821642
OMP,put,100,90,0.02,0.75,1,750000,1000,1,1,215.5631188,215.5631025,10.97328719,0.1067128078,-0.1067128078
OMP,put,100,90,0.02,0.75,1,750000,1000,5,1,44.40969337,44.40966303,10.93458741,0.1454125895,-0.1454125895
OMP,put,100,90,0.02,0.75,1,750000,1000,10,1,22.3755099,22.37545443,11.00657178,0.07342822317,-0.07342822317
OMP,put,100,90,0.02,0.75,1,750000,1000,25,1,11.05396284,11.05393811,11.01993412,0.06006588055,-0.06006588055
OMP,put,100,90,0.02,0.75,1,750000,1000,32,1,9.49712301,9.497098719,10.99329969,0.08670030651,-0.08670030651
OMP,put,100,90,0.02,0.75,1,750000,1000,50,1,9.653909341,9.653869134,10.9266286,0.1533714018,-0.1533714018
OMP,put,100,90,0.02,0.75,1,750000,1000,64,1,10.07023834,10.0702124,11.09742863,0.01742862591,0.01742862591
OMP,put,100,90,0.02,0.75,1,750000,1000,100,1,9.885376056,9.885347087,11.09314988,0.01314987905,0.01314987905
OMP,put,100,90,0.02,0.75,1,750000,1000,125,1,10.09045237,10.09042523,11.0397617,0.0402383029,-0.0402383029
OMP,put,100,90,0.02,0.75,1,1000000,200,1,1,57.84124925,57.84122267,10.94220121,0.1377987888,-0.1377987888
OMP,put,100,90,0.02,0.75,1,1000000,200,5,1,11.81398995,11.81397407,10.93496746,0.1450325437,-0.1450325437
OMP,put,100,90,0.02,0.75,1,1000000,200,10,1,5.915929428,5.915890774,10.91353593,0.1664640703,-0.1664640703
OMP,put,100,90,0.02,0.75,1,1000000,200,25,1,2.680682124,2.6806474,10.93550968,0.1444903169,-0.1444903169
OMP,put,100,90,0.02,0.75,1,1000000,200,32,1,2.056816399,2.05677684,10.95290888,0.1270911229,-0.1270911229
OMP,put,100,90,0.02,0.75,1,1000000,200,50,1,1.956219408,1.95616514,10.82612917,0.2538708346,-0.2538708346
OMP,put,100,90,0.02,0.75,1,1000000,200,64,1,2.032584256,2.03256387,10.95180647,0.1281935321,-0.1281935321
OMP,put,100,90,0.02,0.75,1,1000000,200,100,1,2.07809532,2.078080442,10.85703937,0.2229606289,-0.2229606289
OMP,put,100,90,0.02,0.75,1,1000000,200,125,1,2.083752345,2.083741128,10.92402181,0.155978192,-0.155978192
OMP,put,100,90,0.02,0.75,1,1000000,1000,1,1,290.8421242,290.8420799,10.96589934,0.1141006627,-0.1141006627
OMP,put,100,90,0.02,0.75,1,1000000,1000,5,1,59.05628859,59.05625262,10.95662691,0.1233730855,-0.1233730855
OMP,put,100,90,0.02,0.75,1,1000000,1000,10,1,29.87585307,29.87582907,11.04474654,0.03525345825,-0.03525345825
OMP,put,100,90,0.02,0.75,1,1000000,1000,25,1,13.45963325,13.45960286,10.97515385,0.1048461488,-0.1048461488
OMP,put,100,90,0.02,0.75,1,1000000,1000,32,1,11.20099002,11.20096888,11.07755879,0.002441212241,-0.002441212241
OMP,put,100,90,0.02,0.75,1,1000000,1000,50,1,11.05824731,11.05822923,10.9198407,0.160159304,-0.160159304
OMP,put,100,90,0.02,0.75,1,1000000,1000,64,1,10.6770033,10.67698615,10.98738774,0.09261225881,-0.09261225881
OMP,put,100,90,0.02,0.75,1,1000000,1000,100,1,9.737329868,9.737298829,11.18538446,0.1053844624,0.1053844624
OMP,put,100,90,0.02,0.75,1,1000000,1000,125,1,10.73907544,10.73903926,10.94480201,0.1351979872,-0.1351979872
