Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,10000000,0,0,1,3.608626378,3.608603999,26.64138691,0.02917789626,0.02917789626
Serial,call,100,110,0.02,0.75,1,25000000,0,0,1,9.092156262,9.092141524,26.61773328,0.005524273902,0.005524273902
Serial,call,100,110,0.02,0.75,1,50000000,0,0,1,18.16553305,18.16551964,26.59153691,0.02067210325,-0.02067210325
Serial,call,100,110,0.02,0.75,1,75000000,0,0,1,26.83233341,26.83231951,26.61739772,0.00518871407,0.00518871407
Serial,call,100,110,0.02,0.75,1,100000000,0,0,1,35.67365072,35.67362833,26.6242873,0.01207829112,0.01207829112
Serial,call,100,110,0.02,0.75,1,250000000,0,0,1,90.2378814,90.23786718,26.61336956,0.001160547522,0.001160547522
Serial,call,100,110,0.02,0.75,1,500000000,0,0,1,179.4353942,179.4353791,26.6102451,0.001963908642,-0.001963908642
Serial,call,100,110,0.02,0.75,1,750000000,0,0,1,270.2091253,270.20911,26.61304451,0.000835503414,0.000835503414
Serial,call,100,110,0.02,0.75,1,1000000000,0,0,1,359.7251045,359.7250885,26.6133191,0.001110088001,0.001110088001
OMP,call,100,110,0.02,0.75,1,10000000,0,1,1,3.51662751,3.516577863,26.63071388,0.01850487256,0.01850487256
OMP,call,100,110,0.02,0.75,1,10000000,0,5,1,0.74005367,0.740042708,26.59529212,0.0169168867,-0.0169168867
OMP,call,100,110,0.02,0.75,1,10000000,0,10,1,0.373624745,0.373610597,26.62684906,0.01464004587,0.01464004587
OMP,call,100,110,0.02,0.75,1,10000000,0,25,1,0.162405459,0.162394376,26.54639179,0.06581722134,-0.06581722134
OMP,call,100,110,0.02,0.75,1,10000000,0,32,1,0.128615582,0.128607044,26.54962871,0.06258030135,-0.06258030135
OMP,call,100,110,0.02,0.75,1,10000000,0,50,1,0.128914851,0.128903741,26.56035437,0.05185464205,-0.05185464205
OMP,call,100,110,0.02,0.75,1,10000000,0,64,1,0.129382971,0.129374645,26.6136019,0.001392893977,0.001392893977
OMP,call,100,110,0.02,0.75,1,10000000,0,100,1,0.128589746,0.12858184,26.56532392,0.0468850942,-0.0468850942
OMP,call,100,110,0.02,0.75,1,10000000,0,125,1,0.140939322,0.140926508,26.53597683,0.07623218028,-0.07623218028
OMP,call,100,110,0.02,0.75,1,25000000,0,1,1,8.778047518,8.778038947,26.6227238,0.01051479162,0.01051479162
OMP,call,100,110,0.02,0.75,1,25000000,0,5,1,1.7956009,1.795591066,26.56365279,0.04855622088,-0.04855622088
OMP,call,100,110,0.02,0.75,1,25000000,0,10,1,0.919140226,0.919131123,26.66602937,0.05382035677,0.05382035677
OMP,call,100,110,0.02,0.75,1,25000000,0,25,1,0.389612706,0.389594688,26.72910916,0.1169001462,0.1169001462
OMP,call,100,110,0.02,0.75,1,25000000,0,32,1,0.326634118,0.326624268,26.74894511,0.136736104,0.136736104
OMP,call,100,110,0.02,0.75,1,25000000,0,50,1,0.317732607,0.317723826,26.74706364,0.1348546278,0.1348546278
OMP,call,100,110,0.02,0.75,1,25000000,0,64,1,0.323539514,0.323527754,26.54887713,0.06333187548,-0.06333187548
OMP,call,100,110,0.02,0.75,1,25000000,0,100,1,0.32105296,0.321043349,26.59161433,0.02059468499,-0.02059468499
OMP,call,100,110,0.02,0.75,1,25000000,0,125,1,0.325847603,0.325838396,26.61542387,0.003214862303,0.003214862303
OMP,call,100,110,0.02,0.75,1,50000000,0,1,1,17.60115149,17.60114413,26.62191878,0.009709765677,0.009709765677
OMP,call,100,110,0.02,0.75,1,50000000,0,5,1,3.677378736,3.677356785,26.60233977,0.009869241785,-0.009869241785
OMP,call,100,110,0.02,0.75,1,50000000,0,10,1,1.826880866,1.826857172,26.62847362,0.01626460622,0.01626460622
OMP,call,100,110,0.02,0.75,1,50000000,0,25,1,0.773104416,0.773084334,26.59679511,0.01541389849,-0.01541389849
OMP,call,100,110,0.02,0.75,1,50000000,0,32,1,0.635816195,0.635808019,26.5866474,0.02556161438,-0.02556161438
OMP,call,100,110,0.02,0.75,1,50000000,0,50,1,0.605604309,0.60559474,26.65508234,0.04287333345,0.04287333345
OMP,call,100,110,0.02,0.75,1,50000000,0,64,1,0.606610569,0.606599623,26.56127466,0.05093435197,-0.05093435197
