Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
Serial,call,100,100,0.1,0.2,1,1000000,0,0,2.449765226,2.449669356,11.93056827,0.03056827494
Serial,call,100,100,0.1,0.2,1,2000000,0,0,4.908053917,4.908039971,11.90962592,0.009625915128
Serial,call,100,100,0.1,0.2,1,5000000,0,0,12.26565297,12.26563904,11.90733489,0.007334888982
Serial,call,100,100,0.1,0.2,1,10000000,0,0,24.79755619,24.79753696,11.92277137,0.02277137485
Serial,call,100,100,0.1,0.2,1,25000000,0,0,61.15654009,61.15651025,11.92348438,0.02348438289
Serial,call,100,100,0.1,0.2,1,50000000,0,0,122.2798148,122.2797996,11.91741763,0.017417629
Serial,call,100,100,0.1,0.2,1,75000000,0,0,184.5303085,184.5302765,11.92139604,0.02139604403
Serial,call,100,100,0.1,0.2,1,100000000,0,0,245.9639265,245.9639022,11.92347366,0.02347365817
OMP,call,100,100,0.1,0.2,1,1000000,0,1,2.464121678,2.46393131,11.92639468,0.02639468255
OMP,call,100,100,0.1,0.2,1,1000000,0,5,1.812562687,1.812544002,11.90256006,0.002560060335
OMP,call,100,100,0.1,0.2,1,1000000,0,10,1.720879264,1.720848297,11.91030466,0.0103046569
OMP,call,100,100,0.1,0.2,1,1000000,0,25,1.598288496,1.598277487,11.92056994,0.02056994382
OMP,call,100,100,0.1,0.2,1,1000000,0,32,1.570153797,1.570139998,11.91153624,0.0115362418
OMP,call,100,100,0.1,0.2,1,1000000,0,50,1.598508571,1.598500609,11.93348966,0.03348965857
OMP,call,100,100,0.1,0.2,1,1000000,0,64,1.684563056,1.684550922,11.92361516,0.02361516436
OMP,call,100,100,0.1,0.2,1,1000000,0,100,1.629928511,1.62990545,11.93158837,0.03158837339
OMP,call,100,100,0.1,0.2,1,1000000,0,125,1.752631191,1.752613407,11.92066173,0.02066172856
OMP,call,100,100,0.1,0.2,1,2000000,0,1,4.822387253,4.822367986,11.90653825,0.006538245676
OMP,call,100,100,0.1,0.2,1,2000000,0,5,3.495799208,3.495769456,11.9269564,0.0269563982
OMP,call,100,100,0.1,0.2,1,2000000,0,10,3.322527784,3.322509102,11.9269055,0.02690550408
OMP,call,100,100,0.1,0.2,1,2000000,0,25,3.23558818,3.235565283,11.91786295,0.01786294683
OMP,call,100,100,0.1,0.2,1,2000000,0,32,3.063996136,3.063986674,11.91169089,0.01169088843
OMP,call,100,100,0.1,0.2,1,2000000,0,50,3.035966439,3.035956986,11.92834702,0.02834701959
OMP,call,100,100,0.1,0.2,1,2000000,0,64,3.109358759,3.10934953,11.90319201,0.003192012798
OMP,call,100,100,0.1,0.2,1,2000000,0,100,3.225879198,3.225871512,11.92391955,0.02391955491
OMP,call,100,100,0.1,0.2,1,2000000,0,125,3.238966303,3.238954992,11.91048222,0.01048221511
OMP,call,100,100,0.1,0.2,1,5000000,0,1,12.18098767,12.18097719,11.92572878,0.0257287807
OMP,call,100,100,0.1,0.2,1,5000000,0,5,8.524128788,8.524111857,11.92358836,0.02358836332
OMP,call,100,100,0.1,0.2,1,5000000,0,10,8.09675137,8.096737651,11.91658039,0.01658039
OMP,call,100,100,0.1,0.2,1,5000000,0,25,7.936722976,7.936689785,11.91600421,0.01600421433
OMP,call,100,100,0.1,0.2,1,5000000,0,32,7.802788811,7.802761434,11.92647061,0.02647061368
OMP,call,100,100,0.1,0.2,1,5000000,0,50,7.562802444,7.562794518,11.92497629,0.02497628939
OMP,call,100,100,0.1,0.2,1,5000000,0,64,7.862254616,7.862243603,11.92199158,0.02199157981
OMP,call,100,100,0.1,0.2,1,5000000,0,100,8.029486948,8.029473531,11.9204888,0.0204888008
OMP,call,100,100,0.1,0.2,1,5000000,0,125,7.783755944,7.783746097,11.92679719,0.02679719252
OMP,call,100,100,0.1,0.2,1,10000000,0,1,24.13653223,24.13652232,11.9152332,0.01523320266
