Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,put,100,90,0.1,0.2,1,1000000,0,0,4,2.660112194,2.660016671,0.6548144601,11.24518554,-11.24518554
Serial,put,100,90,0.1,0.2,1,2000000,0,0,4,5.109862315,5.10983168,0.6520231697,11.24797683,-11.24797683
Serial,put,100,90,0.1,0.2,1,5000000,0,0,4,12.6627515,12.66271958,0.6521870478,11.24781295,-11.24781295
Serial,put,100,90,0.1,0.2,1,10000000,0,0,4,26.53468635,26.53466052,0.6511882377,11.24881176,-11.24881176
Serial,put,100,90,0.1,0.2,1,25000000,0,0,4,65.09895934,65.09893124,0.6518086293,11.24819137,-11.24819137
Serial,put,100,90,0.1,0.2,1,50000000,0,0,4,130.7469175,130.7469036,0.6516037434,11.24839626,-11.24839626
Serial,put,100,90,0.1,0.2,1,75000000,0,0,4,193.2491319,193.2491137,0.6518879216,11.24811208,-11.24811208
Serial,put,100,90,0.1,0.2,1,100000000,0,0,4,263.2217471,263.2217234,0.6514125421,11.24858746,-11.24858746
OMP,put,100,90,0.1,0.2,1,1000000,0,1,4,2.631211773,2.631147866,0.6523379227,11.24766208,-11.24766208
OMP,put,100,90,0.1,0.2,1,1000000,0,5,4,1.786871993,1.786838026,0.6540501959,11.2459498,-11.2459498
OMP,put,100,90,0.1,0.2,1,1000000,0,10,4,1.718998097,1.71896975,0.646688094,11.25331191,-11.25331191
OMP,put,100,90,0.1,0.2,1,1000000,0,25,4,1.605517648,1.605500642,0.6523219012,11.2476781,-11.2476781
OMP,put,100,90,0.1,0.2,1,1000000,0,32,4,1.658267328,1.658247283,0.6573682241,11.24263178,-11.24263178
OMP,put,100,90,0.1,0.2,1,1000000,0,50,4,1.677067849,1.677050025,0.653722123,11.24627788,-11.24627788
OMP,put,100,90,0.1,0.2,1,1000000,0,64,4,1.616293902,1.616281302,0.6517415884,11.24825841,-11.24825841
OMP,put,100,90,0.1,0.2,1,1000000,0,100,4,1.62735446,1.627345794,0.6530624936,11.24693751,-11.24693751
OMP,put,100,90,0.1,0.2,1,1000000,0,125,4,1.750308746,1.750277216,0.6527182117,11.24728179,-11.24728179
OMP,put,100,90,0.1,0.2,1,2000000,0,1,4,5.162446431,5.162435412,0.6501167608,11.24988324,-11.24988324
OMP,put,100,90,0.1,0.2,1,2000000,0,5,4,3.644653176,3.64462243,0.6498763221,11.25012368,-11.25012368
OMP,put,100,90,0.1,0.2,1,2000000,0,10,4,3.410097873,3.410081192,0.6504106025,11.2495894,-11.2495894
OMP,put,100,90,0.1,0.2,1,2000000,0,25,4,3.181168765,3.181156796,0.6512546993,11.2487453,-11.2487453
OMP,put,100,90,0.1,0.2,1,2000000,0,32,4,3.248431127,3.248414688,0.6511440205,11.24885598,-11.24885598
OMP,put,100,90,0.1,0.2,1,2000000,0,50,4,3.178339526,3.178321606,0.6520035549,11.24799645,-11.24799645
OMP,put,100,90,0.1,0.2,1,2000000,0,64,4,3.48730802,3.48728187,0.6522356186,11.24776438,-11.24776438
OMP,put,100,90,0.1,0.2,1,2000000,0,100,4,3.253426955,3.253414112,0.652068026,11.24793197,-11.24793197
OMP,put,100,90,0.1,0.2,1,2000000,0,125,4,3.250532044,3.250517428,0.6491559118,11.25084409,-11.25084409
OMP,put,100,90,0.1,0.2,1,5000000,0,1,4,12.87800871,12.87799708,0.6520822686,11.24791773,-11.24791773
OMP,put,100,90,0.1,0.2,1,5000000,0,5,4,9.343454203,9.343422273,0.6510260781,11.24897392,-11.24897392
OMP,put,100,90,0.1,0.2,1,5000000,0,10,4,8.660607597,8.660597701,0.6509232503,11.24907675,-11.24907675
OMP,put,100,90,0.1,0.2,1,5000000,0,25,4,8.089886493,8.089851063,0.6517442662,11.24825573,-11.24825573
OMP,put,100,90,0.1,0.2,1,5000000,0,32,4,7.926258824,7.926237829,0.650240788,11.24975921,-11.24975921
OMP,put,100,90,0.1,0.2,1,5000000,0,50,4,8.117520746,8.117508813,0.6523226933,11.24767731,-11.24767731
OMP,put,100,90,0.1,0.2,1,5000000,0,64,4,8.180126686,8.180112719,0.6506977074,11.24930229,-11.24930229
OMP,put,100,90,0.1,0.2,1,5000000,0,100,4,8.294235776,8.294224081,0.6500155301,11.24998447,-11.24998447
OMP,put,100,90,0.1,0.2,1,5000000,0,125,4,8.227237471,8.227211143,0.6521043563,11.24789564,-11.24789564
OMP,put,100,90,0.1,0.2,1,10000000,0,1,4,25.68423063,25.68421339,0.6512223767,11.24877762,-11.24877762
OMP,put,100,90,0.1,0.2,1,10000000,0,5,4,17.46961439,17.46957955,0.6511919352,11.24880806,-11.24880806
OMP,put,100,90,0.1,0.2,1,10000000,0,10,4,17.3953318,17.39529729,0.6531520886,11.24684791,-11.24684791
OMP,put,100,90,0.1,0.2,1,10000000,0,25,4,16.24279639,16.24278608,0.6506275124,11.24937249,-11.24937249
OMP,put,100,90,0.1,0.2,1,10000000,0,32,4,15.83216565,15.83215462,0.6535223052,11.24647769,-11.24647769
OMP,put,100,90,0.1,0.2,1,10000000,0,50,4,16.44454574,16.44452448,0.6509176942,11.24908231,-11.24908231
OMP,put,100,90,0.1,0.2,1,10000000,0,64,4,16.01972995,16.01970898,0.6517719868,11.24822801,-11.24822801
OMP,put,100,90,0.1,0.2,1,10000000,0,100,4,16.05987492,16.05986493,0.6516211869,11.24837881,-11.24837881
OMP,put,100,90,0.1,0.2,1,10000000,0,125,4,17.12997793,17.1299649,0.651433005,11.24856699,-11.24856699
OMP,put,100,90,0.1,0.2,1,25000000,0,1,4,64.27566076,64.27564808,0.6509944962,11.2490055,-11.2490055
OMP,put,100,90,0.1,0.2,1,25000000,0,5,4,45.2822259,45.28218996,0.6518156078,11.24818439,-11.24818439
OMP,put,100,90,0.1,0.2,1,25000000,0,10,4,44.48184411,44.4818118,0.6516942539,11.24830575,-11.24830575
OMP,put,100,90,0.1,0.2,1,25000000,0,25,4,40.87837367,40.8783471,0.6514206446,11.24857936,-11.24857936
OMP,put,100,90,0.1,0.2,1,25000000,0,32,4,41.07542112,41.07539758,0.651991597,11.2480084,-11.2480084
OMP,put,100,90,0.1,0.2,1,25000000,0,50,4,41.17410409,41.17408234,0.651747514,11.24825249,-11.24825249
OMP,put,100,90,0.1,0.2,1,25000000,0,64,4,41.73649542,41.73647131,0.6523217878,11.24767821,-11.24767821
OMP,put,100,90,0.1,0.2,1,25000000,0,100,4,40.63162405,40.63160203,0.6513033184,11.24869668,-11.24869668
OMP,put,100,90,0.1,0.2,1,25000000,0,125,4,41.70806489,41.70804704,0.6517769215,11.24822308,-11.24822308
OMP,put,100,90,0.1,0.2,1,50000000,0,1,4,134.0760217,134.0759916,0.6521520877,11.24784791,-11.24784791
OMP,put,100,90,0.1,0.2,1,50000000,0,5,4,90.0698667,90.06985073,0.6516923829,11.24830762,-11.24830762
OMP,put,100,90,0.1,0.2,1,50000000,0,10,4,83.05251968,83.05250197,0.6515688997,11.2484311,-11.2484311
OMP,put,100,90,0.1,0.2,1,50000000,0,25,4,80.9555245,80.95549328,0.6512975798,11.24870242,-11.24870242
OMP,put,100,90,0.1,0.2,1,50000000,0,32,4,80.20210328,80.20200223,0.6519543644,11.24804564,-11.24804564
OMP,put,100,90,0.1,0.2,1,50000000,0,50,4,81.91779208,81.91776445,0.6515360018,11.248464,-11.248464
OMP,put,100,90,0.1,0.2,1,50000000,0,64,4,81.76009381,81.76007835,0.6517466915,11.24825331,-11.24825331
OMP,put,100,90,0.1,0.2,1,50000000,0,100,4,81.36240271,81.36238617,0.6511642551,11.24883574,-11.24883574
OMP,put,100,90,0.1,0.2,1,50000000,0,125,4,85.65706013,85.65702241,0.6515629891,11.24843701,-11.24843701
OMP,put,100,90,0.1,0.2,1,75000000,0,1,4,199.7852217,199.7851965,0.6524859577,11.24751404,-11.24751404
OMP,put,100,90,0.1,0.2,1,75000000,0,5,4,135.9191041,135.919078,0.6514547363,11.24854526,-11.24854526
OMP,put,100,90,0.1,0.2,1,75000000,0,10,4,127.5750108,127.5749921,0.651198674,11.24880133,-11.24880133
OMP,put,100,90,0.1,0.2,1,75000000,0,25,4,123.9704373,123.9704179,0.6509265606,11.24907344,-11.24907344
OMP,put,100,90,0.1,0.2,1,75000000,0,32,4,123.2960141,123.295989,0.6514152237,11.24858478,-11.24858478
OMP,put,100,90,0.1,0.2,1,75000000,0,50,4,125.1540918,125.1540694,0.6519460672,11.24805393,-11.24805393
OMP,put,100,90,0.1,0.2,1,75000000,0,64,4,130.0786516,130.078621,0.6514587009,11.2485413,-11.2485413
OMP,put,100,90,0.1,0.2,1,75000000,0,100,4,128.6761789,128.6761641,0.6516936104,11.24830639,-11.24830639
OMP,put,100,90,0.1,0.2,1,75000000,0,125,4,127.5339334,127.5339119,0.6513132574,11.24868674,-11.24868674
OMP,put,100,90,0.1,0.2,1,100000000,0,1,4,280.802748,280.8027328,0.6514298014,11.2485702,-11.2485702
OMP,put,100,90,0.1,0.2,1,100000000,0,5,4,193.6980147,193.6979997,0.6515583951,11.2484416,-11.2484416
OMP,put,100,90,0.1,0.2,1,100000000,0,10,4,176.0077959,176.0077728,0.6514349675,11.24856503,-11.24856503
OMP,put,100,90,0.1,0.2,1,100000000,0,25,4,175.4438155,175.4437732,0.6519737432,11.24802626,-11.24802626
OMP,put,100,90,0.1,0.2,1,100000000,0,32,4,173.2794617,173.2794419,0.6515135778,11.24848642,-11.24848642
OMP,put,100,90,0.1,0.2,1,100000000,0,50,4,178.1388993,178.1388716,0.6517110275,11.24828897,-11.24828897
OMP,put,100,90,0.1,0.2,1,100000000,0,64,4,170.2120824,170.2120557,0.6512993433,11.24870066,-11.24870066
OMP,put,100,90,0.1,0.2,1,100000000,0,100,4,173.4579236,173.4578851,0.6517783818,11.24822162,-11.24822162
OMP,put,100,90,0.1,0.2,1,100000000,0,125,4,171.6350151,171.634991,0.651436988,11.24856301,-11.24856301
MPI,put,100,90,0.1,0.2,1,1000000,0,1,4,2.678092626,2.552927894,0.6492742464,11.25072575,-11.25072575
MPI,put,100,90,0.1,0.2,1,1000000,0,5,4,0.663012147,0.522850801,0.6463144098,11.25368559,-11.25368559
MPI,put,100,90,0.1,0.2,1,1000000,0,10,4,0.522008666,0.36345056,0.6517432096,11.24825679,-11.24825679
MPI,put,100,90,0.1,0.2,1,1000000,0,25,4,0.370129005,0.146446477,0.6534809074,11.24651909,-11.24651909
MPI,put,100,90,0.1,0.2,1,1000000,0,32,4,0.393485812,0.121186767,0.6528862585,11.24711374,-11.24711374
MPI,put,100,90,0.1,0.2,1,1000000,0,50,4,0.590645153,0.148737415,0.6737525538,11.22624745,-11.22624745
MPI,put,100,90,0.1,0.2,1,1000000,0,64,4,0.687867802,0.173362171,0.6751928991,11.2248071,-11.2248071
MPI,put,100,90,0.1,0.2,1,1000000,0,100,4,1.061083156,0.137230846,0.6958587258,11.20414127,-11.20414127
MPI,put,100,90,0.1,0.2,1,1000000,0,125,4,1.404526939,0.138180648,0.6484583898,11.25154161,-11.25154161
MPI,put,100,90,0.1,0.2,1,2000000,0,1,4,5.572521268,5.450397082,0.6517836856,11.24821631,-11.24821631
MPI,put,100,90,0.1,0.2,1,2000000,0,5,4,1.284278129,1.13857926,0.6516711645,11.24832884,-11.24832884
MPI,put,100,90,0.1,0.2,1,2000000,0,10,4,0.832509652,0.676042959,0.654443925,11.24555608,-11.24555608
MPI,put,100,90,0.1,0.2,1,2000000,0,25,4,0.538470198,0.30025314,0.6418125193,11.25818748,-11.25818748
MPI,put,100,90,0.1,0.2,1,2000000,0,32,4,0.526726319,0.257884901,0.6733326552,11.22666734,-11.22666734
MPI,put,100,90,0.1,0.2,1,2000000,0,50,4,0.769359538,0.300919202,0.6496925583,11.25030744,-11.25030744
MPI,put,100,90,0.1,0.2,1,2000000,0,64,4,0.817005076,0.311147217,0.6624586819,11.23754132,-11.23754132
MPI,put,100,90,0.1,0.2,1,2000000,0,100,4,1.21234055,0.28213618,0.6556873944,11.24431261,-11.24431261
MPI,put,100,90,0.1,0.2,1,2000000,0,125,4,1.549133585,0.268100162,0.6850610142,11.21493899,-11.21493899
MPI,put,100,90,0.1,0.2,1,5000000,0,1,4,13.4597927,13.3363748,0.6527410624,11.24725894,-11.24725894
MPI,put,100,90,0.1,0.2,1,5000000,0,5,4,2.919288489,2.777752992,0.6533387146,11.24666129,-11.24666129
MPI,put,100,90,0.1,0.2,1,5000000,0,10,4,1.592927787,1.42885699,0.6540494074,11.24595059,-11.24595059
MPI,put,100,90,0.1,0.2,1,5000000,0,25,4,0.971759004,0.729709565,0.652601272,11.24739873,-11.24739873
MPI,put,100,90,0.1,0.2,1,5000000,0,32,4,0.849914434,0.577715394,0.6569739039,11.2430261,-11.2430261
MPI,put,100,90,0.1,0.2,1,5000000,0,50,4,1.159959229,0.660625344,0.6543995023,11.2456005,-11.2456005
MPI,put,100,90,0.1,0.2,1,5000000,0,64,4,1.242478691,0.675893073,0.653644285,11.24635571,-11.24635571
MPI,put,100,90,0.1,0.2,1,5000000,0,100,4,1.554573485,0.66458274,0.6471155557,11.25288444,-11.25288444
MPI,put,100,90,0.1,0.2,1,5000000,0,125,4,1.949029485,0.682535289,0.6673735778,11.23262642,-11.23262642
MPI,put,100,90,0.1,0.2,1,10000000,0,1,4,28.06825094,27.9426207,0.6519237194,11.24807628,-11.24807628
MPI,put,100,90,0.1,0.2,1,10000000,0,5,4,5.534534635,5.383244093,0.6526416068,11.24735839,-11.24735839
MPI,put,100,90,0.1,0.2,1,10000000,0,10,4,2.920589776,2.758585257,0.6523464348,11.24765357,-11.24765357
MPI,put,100,90,0.1,0.2,1,10000000,0,25,4,1.686562191,1.435851616,0.6468873634,11.25311264,-11.25311264
MPI,put,100,90,0.1,0.2,1,10000000,0,32,4,1.434653955,1.175443016,0.6535398109,11.24646019,-11.24646019
MPI,put,100,90,0.1,0.2,1,10000000,0,50,4,1.719562688,1.2878339,0.6543726563,11.24562734,-11.24562734
MPI,put,100,90,0.1,0.2,1,10000000,0,64,4,1.698415303,1.072512816,0.6544811884,11.24551881,-11.24551881
MPI,put,100,90,0.1,0.2,1,10000000,0,100,4,2.252424524,1.250196324,0.6482691003,11.2517309,-11.2517309
MPI,put,100,90,0.1,0.2,1,10000000,0,125,4,2.689194975,1.341637404,0.6515474572,11.24845254,-11.24845254
MPI,put,100,90,0.1,0.2,1,25000000,0,1,4,69.05287581,68.93160768,0.6525122086,11.24748779,-11.24748779
MPI,put,100,90,0.1,0.2,1,25000000,0,5,4,14.3886543,14.23792204,0.651224699,11.2487753,-11.2487753
MPI,put,100,90,0.1,0.2,1,25000000,0,10,4,7.481618379,7.310072474,0.6502586986,11.2497413,-11.2497413
MPI,put,100,90,0.1,0.2,1,25000000,0,25,4,3.525048496,3.246158131,0.6530409688,11.24695903,-11.24695903
MPI,put,100,90,0.1,0.2,1,25000000,0,32,4,3.164934426,2.869600349,0.6518946629,11.24810534,-11.24810534
MPI,put,100,90,0.1,0.2,1,25000000,0,50,4,3.34039318,2.853759708,0.6487179286,11.25128207,-11.25128207
MPI,put,100,90,0.1,0.2,1,25000000,0,64,4,3.528197214,2.942281164,0.6530053835,11.24699462,-11.24699462
MPI,put,100,90,0.1,0.2,1,25000000,0,100,4,4.292143454,3.252258362,0.6530359936,11.24696401,-11.24696401
MPI,put,100,90,0.1,0.2,1,25000000,0,125,4,4.637074494,3.366587333,0.6458335578,11.25416644,-11.25416644
MPI,put,100,90,0.1,0.2,1,50000000,0,1,4,134.0414636,133.9176948,0.6515967376,11.24840326,-11.24840326
MPI,put,100,90,0.1,0.2,1,50000000,0,5,4,29.09523247,28.94740496,0.6517605167,11.24823948,-11.24823948
MPI,put,100,90,0.1,0.2,1,50000000,0,10,4,13.9823795,13.81058731,0.6507255538,11.24927445,-11.24927445
MPI,put,100,90,0.1,0.2,1,50000000,0,25,4,7.003133811,6.751995838,0.6519769083,11.24802309,-11.24802309
MPI,put,100,90,0.1,0.2,1,50000000,0,32,4,6.357280205,6.065149414,0.6542811761,11.24571882,-11.24571882
MPI,put,100,90,0.1,0.2,1,50000000,0,50,4,7.205439811,6.765340561,0.6520929956,11.247907,-11.247907
MPI,put,100,90,0.1,0.2,1,50000000,0,64,4,7.043305843,6.494487233,0.6563363789,11.24366362,-11.24366362
MPI,put,100,90,0.1,0.2,1,50000000,0,100,4,7.315371541,6.343346123,0.6602665766,11.23973342,-11.23973342
MPI,put,100,90,0.1,0.2,1,50000000,0,125,4,7.578647788,6.322380127,0.6424949034,11.2575051,-11.2575051
MPI,put,100,90,0.1,0.2,1,75000000,0,1,4,208.0047015,207.8842235,0.6516651363,11.24833486,-11.24833486
MPI,put,100,90,0.1,0.2,1,75000000,0,5,4,43.01497847,42.87407312,0.6525933895,11.24740661,-11.24740661
MPI,put,100,90,0.1,0.2,1,75000000,0,10,4,22.44581692,22.28535514,0.651323345,11.24867665,-11.24867665
MPI,put,100,90,0.1,0.2,1,75000000,0,25,4,10.98226889,10.7629346,0.6546310865,11.24536891,-11.24536891
MPI,put,100,90,0.1,0.2,1,75000000,0,32,4,9.461295498,9.209699867,0.6537193161,11.24628068,-11.24628068
MPI,put,100,90,0.1,0.2,1,75000000,0,50,4,10.34037225,9.860810387,0.6526008482,11.24739915,-11.24739915
MPI,put,100,90,0.1,0.2,1,75000000,0,64,4,10.17101697,9.602084704,0.6509218366,11.24907816,-11.24907816
MPI,put,100,90,0.1,0.2,1,75000000,0,100,4,10.41035479,9.361882291,0.6493268625,11.25067314,-11.25067314
