Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
Serial,call,100,110,0.02,0.75,1,1000,200,0,0.028199159,0.028188793,30.5507098,3.937915961
Serial,call,100,110,0.02,0.75,1,1000,1000,0,0.11821845,0.118207069,29.07668317,2.463889332
Serial,call,100,110,0.02,0.75,1,10000,200,0,0.269804711,0.269793431,26.95392365,0.3411298107
Serial,call,100,110,0.02,0.75,1,10000,1000,0,1.190068851,1.190058411,26.83610954,0.2233156961
Serial,call,100,110,0.02,0.75,1,25000,200,0,0.621272105,0.621262583,26.60124001,-0.01155383251
Serial,call,100,110,0.02,0.75,1,25000,1000,0,3.020269949,3.020260343,26.45174076,-0.1610530798
Serial,call,100,110,0.02,0.75,1,50000,200,0,1.235269623,1.235252204,26.32714141,-0.2856524283
Serial,call,100,110,0.02,0.75,1,50000,1000,0,6.080058382,6.080051289,26.54503108,-0.06776276117
Serial,call,100,110,0.02,0.75,1,75000,200,0,1.869878223,1.869860705,26.42245849,-0.1903353544
Serial,call,100,110,0.02,0.75,1,75000,1000,0,9.140283927,9.140270762,26.45322072,-0.1595731222
Serial,call,100,110,0.02,0.75,1,100000,200,0,2.521086873,2.521042088,26.37157265,-0.2412211857
Serial,call,100,110,0.02,0.75,1,100000,1000,0,12.23898452,12.23897467,26.40249545,-0.210298393
OMP,call,100,110,0.02,0.75,1,1000,200,1,0.028915269,0.028899969,25.45612512,-1.156668725
OMP,call,100,110,0.02,0.75,1,1000,200,5,0.038853963,0.038840292,25.45612512,-1.156668725
OMP,call,100,110,0.02,0.75,1,1000,200,10,0.04041113,0.040397519,25.45612512,-1.156668725
OMP,call,100,110,0.02,0.75,1,1000,200,25,0.104644509,0.104632361,25.45612512,-1.156668725
OMP,call,100,110,0.02,0.75,1,1000,200,50,0.168065341,0.168057807,23.47990431,-3.132889526
OMP,call,100,110,0.02,0.75,1,1000,200,100,0.23022606,0.230217933,23.47990431,-3.132889526
OMP,call,100,110,0.02,0.75,1,1000,1000,1,0.122904902,0.122893464,25.75249461,-0.8602992286
OMP,call,100,110,0.02,0.75,1,1000,1000,5,0.164527474,0.164514399,25.75249461,-0.8602992286
OMP,call,100,110,0.02,0.75,1,1000,1000,10,0.134993807,0.134986658,25.75249461,-0.8602992286
OMP,call,100,110,0.02,0.75,1,1000,1000,25,0.179858533,0.179852105,25.75249461,-0.8602992286
OMP,call,100,110,0.02,0.75,1,1000,1000,50,0.814256183,0.814249371,27.92384894,1.311055101
OMP,call,100,110,0.02,0.75,1,1000,1000,100,1.069441153,1.069430738,27.92384894,1.311055101
OMP,call,100,110,0.02,0.75,1,10000,200,1,0.255707262,0.255695127,26.93340829,0.3206144515
OMP,call,100,110,0.02,0.75,1,10000,200,5,0.247967889,0.247954804,26.93340829,0.3206144515
OMP,call,100,110,0.02,0.75,1,10000,200,10,0.20520688,0.205199413,26.93340829,0.3206144515
OMP,call,100,110,0.02,0.75,1,10000,200,25,0.230682033,0.230675191,26.93340829,0.3206144515
OMP,call,100,110,0.02,0.75,1,10000,200,50,0.359590785,0.359584424,26.82279916,0.210005319
OMP,call,100,110,0.02,0.75,1,10000,200,100,0.470396823,0.47038669,26.96319736,0.3504035159
OMP,call,100,110,0.02,0.75,1,10000,1000,1,1.266259349,1.266246249,26.52017611,-0.09261772812
OMP,call,100,110,0.02,0.75,1,10000,1000,5,1.0161978,1.016183858,26.53683212,-0.07596172248
OMP,call,100,110,0.02,0.75,1,10000,1000,10,1.048480507,1.048471631,26.36075938,-0.2520344578
OMP,call,100,110,0.02,0.75,1,10000,1000,25,1.073328868,1.073320934,25.10453376,-1.50826008
OMP,call,100,110,0.02,0.75,1,10000,1000,50,1.729246172,1.729237418,27.14148981,0.528695972
OMP,call,100,110,0.02,0.75,1,10000,1000,100,2.161649801,2.1616369,26.91915302,0.3063591778
OMP,call,100,110,0.02,0.75,1,25000,200,1,0.651354473,0.651341162,26.7668365,0.1540426616
OMP,call,100,110,0.02,0.75,1,25000,200,5,0.521919071,0.521901912,26.42957348,-0.1832203606
OMP,call,100,110,0.02,0.75,1,25000,200,10,0.548179521,0.548173129,26.50050858,-0.1122852629
OMP,call,100,110,0.02,0.75,1,25000,200,25,0.597167194,0.597161788,26.75123798,0.1384441356
OMP,call,100,110,0.02,0.75,1,25000,200,50,0.633930047,0.633924332,26.75123798,0.1384441356
OMP,call,100,110,0.02,0.75,1,25000,200,100,0.7463024,0.746291107,26.52340574,-0.0893881027
OMP,call,100,110,0.02,0.75,1,25000,1000,1,3.221537744,3.221525092,27.72001266,1.10721882
OMP,call,100,110,0.02,0.75,1,25000,1000,5,2.537800549,2.537787654,26.79893916,0.1861453241
OMP,call,100,110,0.02,0.75,1,25000,1000,10,2.510706115,2.510697189,26.344777,-0.2680168384
