Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,1000,200,0,1,0.063313728,0.063238592,13.78094626,0.07905373529,-0.07905373529
Serial,call,100,110,0.02,0.75,1,1000,1000,0,1,0.308761449,0.308729484,13.01678038,0.8432196156,-0.8432196156
Serial,call,100,110,0.02,0.75,1,2500,200,0,1,0.148333156,0.148301488,13.46437358,0.3956264245,-0.3956264245
Serial,call,100,110,0.02,0.75,1,2500,1000,0,1,0.731586046,0.731546359,12.99009909,0.8699009125,-0.8699009125
Serial,call,100,110,0.02,0.75,1,5000,200,0,1,0.301848959,0.301811092,13.3266392,0.5333608033,-0.5333608033
Serial,call,100,110,0.02,0.75,1,5000,1000,0,1,1.490589515,1.490562992,13.82293792,0.03706207532,-0.03706207532
Serial,call,100,110,0.02,0.75,1,7500,200,0,1,0.435830727,0.435792855,13.48242196,0.3775780401,-0.3775780401
Serial,call,100,110,0.02,0.75,1,7500,1000,0,1,2.241312402,2.241281839,14.0321641,0.1721640952,0.1721640952
Serial,call,100,110,0.02,0.75,1,10000,200,0,1,0.586576569,0.586546124,13.7539641,0.1060359049,-0.1060359049
Serial,call,100,110,0.02,0.75,1,10000,1000,0,1,2.928515818,2.928489977,13.95476339,0.09476338964,0.09476338964
Serial,call,100,110,0.02,0.75,1,25000,200,0,1,1.485060353,1.485024062,13.5689487,0.2910512982,-0.2910512982
Serial,call,100,110,0.02,0.75,1,25000,1000,0,1,7.532241142,7.532178111,13.79316726,0.06683274193,-0.06683274193
Serial,call,100,110,0.02,0.75,1,50000,200,0,1,3.018550514,3.018532071,13.78452703,0.07547297413,-0.07547297413
Serial,call,100,110,0.02,0.75,1,50000,1000,0,1,15.09197143,15.09193356,13.94540904,0.085409044,0.085409044
Serial,call,100,110,0.02,0.75,1,75000,200,0,1,4.599851094,4.599804728,13.71210587,0.1478941269,-0.1478941269
Serial,call,100,110,0.02,0.75,1,75000,1000,0,1,22.19207354,22.19203539,13.87151989,0.01151988916,0.01151988916
Serial,call,100,110,0.02,0.75,1,100000,200,0,1,5.861804531,5.861771883,13.49975817,0.3602418323,-0.3602418323
Serial,call,100,110,0.02,0.75,1,100000,1000,0,1,29.30656618,29.30653433,13.78704652,0.07295348127,-0.07295348127
Serial,call,100,110,0.02,0.75,1,250000,200,0,1,14.71981683,14.7197857,13.7076804,0.1523196015,-0.1523196015
Serial,call,100,110,0.02,0.75,1,250000,1000,0,1,74.38534852,74.38530936,13.68662961,0.1733703853,-0.1733703853
Serial,call,100,110,0.02,0.75,1,500000,200,0,1,30.06848586,30.06841749,13.73796417,0.1220358287,-0.1220358287
Serial,call,100,110,0.02,0.75,1,500000,1000,0,1,148.4960713,148.4960407,13.65852912,0.2014708832,-0.2014708832
Serial,call,100,110,0.02,0.75,1,750000,200,0,1,44.00839707,44.00835547,13.73153397,0.1284660276,-0.1284660276
Serial,call,100,110,0.02,0.75,1,750000,1000,0,1,221.8496866,221.8496684,13.69912302,0.1608769771,-0.1608769771
Serial,call,100,110,0.02,0.75,1,1000000,200,0,1,58.737207,58.73716889,13.72472371,0.1352762911,-0.1352762911
Serial,call,100,110,0.02,0.75,1,1000000,1000,0,1,294.6193249,294.6193037,13.66108703,0.1989129696,-0.1989129696
OMP,call,100,110,0.02,0.75,1,1000,200,1,1,0.066611597,0.066496197,13.67640684,0.1835931572,-0.1835931572
OMP,call,100,110,0.02,0.75,1,1000,200,5,1,0.060667032,0.060641786,13.68095409,0.1790459066,-0.1790459066
OMP,call,100,110,0.02,0.75,1,1000,200,10,1,0.057447156,0.0574337,13.6676878,0.1923121999,-0.1923121999
OMP,call,100,110,0.02,0.75,1,1000,200,25,1,0.062627033,0.062591856,11.90920712,1.950792883,-1.950792883
OMP,call,100,110,0.02,0.75,1,1000,200,32,1,0.063580062,0.063551959,11.90569039,1.95430961,-1.95430961
OMP,call,100,110,0.02,0.75,1,1000,200,50,1,0.069601049,0.069563327,11.90630279,1.95369721,-1.95369721
OMP,call,100,110,0.02,0.75,1,1000,200,64,1,0.084717015,0.084690616,11.90115496,1.958845038,-1.958845038
OMP,call,100,110,0.02,0.75,1,1000,200,100,1,0.065680528,0.065664452,11.91464124,1.945358757,-1.945358757
OMP,call,100,110,0.02,0.75,1,1000,200,125,1,0.068050976,0.068035902,11.89937575,1.960624254,-1.960624254
OMP,call,100,110,0.02,0.75,1,1000,1000,1,1,0.290749423,0.290703848,12.32392742,1.536072578,-1.536072578
OMP,call,100,110,0.02,0.75,1,1000,1000,5,1,0.289217823,0.289205597,12.32410347,1.535896535,-1.535896535
OMP,call,100,110,0.02,0.75,1,1000,1000,10,1,0.283851632,0.283810987,13.61269718,0.2473028218,-0.2473028218
OMP,call,100,110,0.02,0.75,1,1000,1000,25,1,0.2907881,0.29077258,13.61091131,0.2490886917,-0.2490886917
OMP,call,100,110,0.02,0.75,1,1000,1000,32,1,0.286559687,0.286517962,13.60944787,0.2505521284,-0.2505521284
OMP,call,100,110,0.02,0.75,1,1000,1000,50,1,0.296971129,0.296944243,13.60988882,0.2501111844,-0.2501111844
OMP,call,100,110,0.02,0.75,1,1000,1000,64,1,0.301811707,0.301785272,13.41913167,0.440868332,-0.440868332
OMP,call,100,110,0.02,0.75,1,1000,1000,100,1,0.291360847,0.291338202,13.42035128,0.4396487243,-0.4396487243
OMP,call,100,110,0.02,0.75,1,1000,1000,125,1,0.286947575,0.286907303,13.42201728,0.4379827235,-0.4379827235
OMP,call,100,110,0.02,0.75,1,2500,200,1,1,0.149242759,0.149215215,12.52480348,1.33519652,-1.33519652
OMP,call,100,110,0.02,0.75,1,2500,200,5,1,0.067776871,0.067751229,11.9250154,1.9349846,-1.9349846
OMP,call,100,110,0.02,0.75,1,2500,200,10,1,0.059774659,0.059740178,11.91971971,1.94028029,-1.94028029
OMP,call,100,110,0.02,0.75,1,2500,200,25,1,0.066631736,0.066612549,11.91686974,1.94313026,-1.94313026
OMP,call,100,110,0.02,0.75,1,2500,200,32,1,0.083794454,0.083761929,11.92638748,1.933612517,-1.933612517
OMP,call,100,110,0.02,0.75,1,2500,200,50,1,0.087082221,0.087053063,11.9240686,1.935931397,-1.935931397
OMP,call,100,110,0.02,0.75,1,2500,200,64,1,0.075121729,0.075086782,11.92633097,1.933669032,-1.933669032
OMP,call,100,110,0.02,0.75,1,2500,200,100,1,0.065092537,0.065054229,11.91460192,1.945398082,-1.945398082
OMP,call,100,110,0.02,0.75,1,2500,200,125,1,0.076861112,0.076828518,11.92121031,1.938789692,-1.938789692
OMP,call,100,110,0.02,0.75,1,2500,1000,1,1,0.699923507,0.699906383,12.90678201,0.9532179906,-0.9532179906
OMP,call,100,110,0.02,0.75,1,2500,1000,5,1,0.297534998,0.297498896,13.82687284,0.03312715796,-0.03312715796
OMP,call,100,110,0.02,0.75,1,2500,1000,10,1,0.299683514,0.299653,13.28699737,0.5730026271,-0.5730026271
OMP,call,100,110,0.02,0.75,1,2500,1000,25,1,0.302125064,0.302088955,13.28664397,0.5733560271,-0.5733560271
OMP,call,100,110,0.02,0.75,1,2500,1000,32,1,0.318313598,0.318278218,13.28758171,0.5724182878,-0.5724182878
OMP,call,100,110,0.02,0.75,1,2500,1000,50,1,0.319179297,0.31916124,13.28801377,0.5719862282,-0.5719862282
OMP,call,100,110,0.02,0.75,1,2500,1000,64,1,0.327844424,0.327810206,14.99900641,1.139006408,1.139006408
OMP,call,100,110,0.02,0.75,1,2500,1000,100,1,0.300466219,0.300446312,14.99895083,1.138950827,1.138950827
OMP,call,100,110,0.02,0.75,1,2500,1000,125,1,0.319306103,0.319284578,14.99833752,1.138337525,1.138337525
OMP,call,100,110,0.02,0.75,1,5000,200,1,1,0.291809782,0.291772861,12.80324536,1.056754644,-1.056754644
OMP,call,100,110,0.02,0.75,1,5000,200,5,1,0.073586832,0.073566107,13.45113174,0.4088682631,-0.4088682631
OMP,call,100,110,0.02,0.75,1,5000,200,10,1,0.061663458,0.061641907,13.4474242,0.4125758011,-0.4125758011
OMP,call,100,110,0.02,0.75,1,5000,200,25,1,0.065535378,0.065505266,13.44505123,0.4149487724,-0.4149487724
