Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,100,0.1,0.2,1,100000,0,0,4,0.229631003,0.229522349,11.89526928,0.00473071653,-0.00473071653
Serial,call,100,100,0.1,0.2,1,250000,0,0,4,0.557918805,0.557893486,11.92770283,0.0277028325,0.0277028325
Serial,call,100,100,0.1,0.2,1,500000,0,0,4,1.108038336,1.108007274,11.94972382,0.04972381859,0.04972381859
Serial,call,100,100,0.1,0.2,1,750000,0,0,4,1.648054513,1.64801367,11.92827211,0.02827210859,0.02827210859
Serial,call,100,100,0.1,0.2,1,1000000,0,0,4,2.169183057,2.169135969,11.89305785,0.006942149534,-0.006942149534
Serial,call,100,100,0.1,0.2,1,2500000,0,0,4,5.435662673,5.435638107,11.93192529,0.03192528953,0.03192528953
Serial,call,100,100,0.1,0.2,1,5000000,0,0,4,10.83303353,10.83300134,11.92571995,0.02571995064,0.02571995064
Serial,call,100,100,0.1,0.2,1,7500000,0,0,4,16.59079372,16.59075133,11.91530917,0.01530916943,0.01530916943
Serial,call,100,100,0.1,0.2,1,10000000,0,0,4,22.04421758,22.04418062,11.92292786,0.02292785802,0.02292785802
Serial,call,100,100,0.1,0.2,1,25000000,0,0,4,55.39397723,55.39393906,11.92157008,0.02157007591,0.02157007591
Serial,call,100,100,0.1,0.2,1,50000000,0,0,4,109.8979651,109.8979302,11.92228437,0.02228436678,0.02228436678
Serial,call,100,100,0.1,0.2,1,75000000,0,0,4,163.8919356,163.8918936,11.92133244,0.02133243678,0.02133243678
Serial,call,100,100,0.1,0.2,1,100000000,0,0,4,217.9023449,217.9022913,11.91985569,0.01985568994,0.01985568994
OMP,call,100,100,0.1,0.2,1,100000,0,1,4,0.230887637,0.230792612,11.87225862,0.02774137756,-0.02774137756
OMP,call,100,100,0.1,0.2,1,100000,0,5,4,0.187658588,0.187624824,11.87225862,0.02774137756,-0.02774137756
OMP,call,100,100,0.1,0.2,1,100000,0,10,4,0.164051835,0.16401473,11.95999403,0.05999403253,0.05999403253
OMP,call,100,100,0.1,0.2,1,100000,0,25,4,0.162654404,0.162636318,11.95999403,0.05999403253,0.05999403253
OMP,call,100,100,0.1,0.2,1,100000,0,32,4,0.149437544,0.149409824,11.95999403,0.05999403253,0.05999403253
OMP,call,100,100,0.1,0.2,1,100000,0,50,4,0.152623259,0.152589087,11.95999403,0.05999403253,0.05999403253
OMP,call,100,100,0.1,0.2,1,100000,0,64,4,0.151705396,0.151675986,11.95999403,0.05999403253,0.05999403253
OMP,call,100,100,0.1,0.2,1,100000,0,100,4,0.168718832,0.168691583,11.95999403,0.05999403253,0.05999403253
OMP,call,100,100,0.1,0.2,1,100000,0,125,4,0.163353771,0.163330193,11.9064707,0.006470704741,0.006470704741
OMP,call,100,100,0.1,0.2,1,250000,0,1,4,0.524580913,0.524555659,11.89139199,0.00860800687,-0.00860800687
OMP,call,100,100,0.1,0.2,1,250000,0,5,4,0.408554019,0.408518473,11.89139199,0.008608006869,-0.008608006869
OMP,call,100,100,0.1,0.2,1,250000,0,10,4,0.416524608,0.416505997,11.95453502,0.05453501978,0.05453501978
OMP,call,100,100,0.1,0.2,1,250000,0,25,4,0.385828134,0.38579861,11.95453502,0.05453501978,0.05453501978
OMP,call,100,100,0.1,0.2,1,250000,0,32,4,0.368142696,0.368127595,11.92165215,0.02165214968,0.02165214968
OMP,call,100,100,0.1,0.2,1,250000,0,50,4,0.426837709,0.42681273,11.92165215,0.02165214968,0.02165214968
OMP,call,100,100,0.1,0.2,1,250000,0,64,4,0.454311642,0.454283181,11.92165215,0.02165214968,0.02165214968
OMP,call,100,100,0.1,0.2,1,250000,0,100,4,0.435267401,0.435242462,11.94962157,0.04962156804,0.04962156804
OMP,call,100,100,0.1,0.2,1,250000,0,125,4,0.402319529,0.40230294,11.94962157,0.04962156804,0.04962156804
OMP,call,100,100,0.1,0.2,1,500000,0,1,4,1.041379789,1.041361327,11.90845847,0.008458470654,0.008458470654
OMP,call,100,100,0.1,0.2,1,500000,0,5,4,0.859452403,0.85939843,11.94395241,0.04395241,0.04395241
OMP,call,100,100,0.1,0.2,1,500000,0,10,4,0.762927009,0.762873594,11.95388194,0.0538819409,0.0538819409
OMP,call,100,100,0.1,0.2,1,500000,0,25,4,0.837038969,0.837002453,11.95388194,0.0538819409,0.0538819409
OMP,call,100,100,0.1,0.2,1,500000,0,32,4,0.751568523,0.751537863,11.93820718,0.03820718008,0.03820718008
OMP,call,100,100,0.1,0.2,1,500000,0,50,4,0.791284499,0.791257156,11.93051179,0.03051178544,0.03051178544
OMP,call,100,100,0.1,0.2,1,500000,0,64,4,0.835137902,0.835121098,11.91247972,0.01247971728,0.01247971728
OMP,call,100,100,0.1,0.2,1,500000,0,100,4,0.915144479,0.915114464,11.91155551,0.01155550939,0.01155550939
OMP,call,100,100,0.1,0.2,1,500000,0,125,4,1.0753677,1.075328672,11.93037085,0.03037085226,0.03037085226
OMP,call,100,100,0.1,0.2,1,750000,0,1,4,1.643411049,1.643395246,11.91779307,0.01779307364,0.01779307364
OMP,call,100,100,0.1,0.2,1,750000,0,5,4,1.212263982,1.212231172,11.94101697,0.0410169673,0.0410169673
