Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,10000,200,0,1,0.398680173,0.398579851,27.22106367,0.6079024563,0.6079024563
Serial,call,100,110,0.02,0.75,1,25000,200,0,1,1.007610173,1.007573419,27.07624578,0.4630845748,0.4630845748
Serial,call,100,110,0.02,0.75,1,32000,200,0,1,1.231140916,1.231102971,26.75802341,0.1448621986,0.1448621986
Serial,call,100,110,0.02,0.75,1,50000,200,0,1,1.96509041,1.965049324,26.44459835,0.1685628591,-0.1685628591
Serial,call,100,110,0.02,0.75,1,64000,200,0,1,2.513286872,2.513254012,26.55579118,0.05737003348,-0.05737003348
Serial,call,100,110,0.02,0.75,1,100000,200,0,1,3.917395126,3.917363914,26.2392884,0.3738728104,-0.3738728104
Serial,call,100,110,0.02,0.75,1,250000,200,0,1,9.889526356,9.889483668,26.47044877,0.1427124407,-0.1427124407
Serial,call,100,110,0.02,0.75,1,32000,200,0,1,1.222836077,1.222813062,26.78764879,0.1744875838,0.1744875838
Serial,call,100,110,0.02,0.75,1,500000,200,0,1,20.71590049,20.71586373,26.46407482,0.149086389,-0.149086389
Serial,call,100,110,0.02,0.75,1,64000,200,0,1,2.485010892,2.484979021,26.6202126,0.007051387018,0.007051387018
Serial,call,100,110,0.02,0.75,1,1000000,200,0,1,41.26618461,41.26615064,26.39636868,0.2167925307,-0.2167925307
Serial,call,100,110,0.02,0.75,1,2500000,200,0,1,101.7225182,101.7224932,26.38551453,0.2276466771,-0.2276466771
Serial,call,100,110,0.02,0.75,1,3200000,200,0,1,133.4135314,133.4134999,26.40718396,0.2059772459,-0.2059772459
Serial,call,100,110,0.02,0.75,1,5000000,200,0,1,212.5317435,212.5317105,26.38549252,0.2276686875,-0.2276686875
Serial,call,100,110,0.02,0.75,1,6400000,200,0,1,270.2521733,270.2521339,26.39858375,0.2145774631,-0.2145774631
Serial,call,100,110,0.02,0.75,1,10000000,200,0,1,427.8886538,427.8886366,26.41252204,0.2006391743,-0.2006391743
OMP,call,100,110,0.02,0.75,1,10000,200,1,1,0.458225285,0.458184982,26.39271945,0.2204417552,-0.2204417552
OMP,call,100,110,0.02,0.75,1,10000,200,5,1,0.417018243,0.416991482,27.16969467,0.5565334621,0.5565334621
OMP,call,100,110,0.02,0.75,1,10000,200,10,1,0.419187703,0.419147107,26.53166405,0.08149716303,-0.08149716303
OMP,call,100,110,0.02,0.75,1,10000,200,25,1,0.43946219,0.439448385,25.93853393,0.6746272785,-0.6746272785
OMP,call,100,110,0.02,0.75,1,10000,200,32,1,0.425740877,0.425714766,27.01861776,0.4054565465,0.4054565465
OMP,call,100,110,0.02,0.75,1,10000,200,50,1,0.495866153,0.495851583,27.74289612,1.129734915,1.129734915
OMP,call,100,110,0.02,0.75,1,10000,200,64,1,0.558733728,0.558697943,26.37639895,0.2367622645,-0.2367622645
OMP,call,100,110,0.02,0.75,1,10000,200,100,1,0.562186917,0.562161509,26.71428264,0.1011214317,0.1011214317
OMP,call,100,110,0.02,0.75,1,25000,200,1,1,1.150926561,1.150898929,25.91923606,0.6939251472,-0.6939251472
OMP,call,100,110,0.02,0.75,1,25000,200,5,1,1.05078654,1.050746817,26.44248301,0.1706782016,-0.1706782016
OMP,call,100,110,0.02,0.75,1,25000,200,10,1,1.013103516,1.013074027,26.78014332,0.1669821067,0.1669821067
OMP,call,100,110,0.02,0.75,1,25000,200,25,1,1.024448846,1.024435361,27.22711408,0.6139528661,0.6139528661
OMP,call,100,110,0.02,0.75,1,25000,200,32,1,1.054369209,1.054351462,26.59368573,0.01947547551,-0.01947547551
OMP,call,100,110,0.02,0.75,1,25000,200,50,1,1.117988632,1.117972366,26.55927741,0.05388380032,-0.05388380032
OMP,call,100,110,0.02,0.75,1,25000,200,64,1,1.17198637,1.171970949,26.3946994,0.2184618113,-0.2184618113
OMP,call,100,110,0.02,0.75,1,25000,200,100,1,1.218379852,1.218353375,25.48012791,1.133033297,-1.133033297
OMP,call,100,110,0.02,0.75,1,32000,200,1,1,1.462680839,1.462645385,27.0140446,0.4008833909,0.4008833909
OMP,call,100,110,0.02,0.75,1,32000,200,5,1,1.320395315,1.320370551,27.05352434,0.4403631287,0.4403631287
OMP,call,100,110,0.02,0.75,1,32000,200,10,1,1.25319245,1.253157647,26.14117749,0.4719837213,-0.4719837213
OMP,call,100,110,0.02,0.75,1,32000,200,25,1,1.291783367,1.291767621,26.73931272,0.1261515088,0.1261515088
OMP,call,100,110,0.02,0.75,1,32000,200,32,1,1.27156458,1.271552213,26.44533985,0.1678213566,-0.1678213566
OMP,call,100,110,0.02,0.75,1,32000,200,50,1,1.503463771,1.503378995,25.92839192,0.6847692949,-0.6847692949
OMP,call,100,110,0.02,0.75,1,32000,200,64,1,1.436194973,1.436161254,26.7208826,0.1077213877,0.1077213877
OMP,call,100,110,0.02,0.75,1,32000,200,100,1,1.515108563,1.515081094,26.28802809,0.3251331164,-0.3251331164
OMP,call,100,110,0.02,0.75,1,50000,200,1,1,2.394322326,2.394285163,26.8065935,0.1934322875,0.1934322875
OMP,call,100,110,0.02,0.75,1,50000,200,5,1,2.02200714,2.021972589,26.82369375,0.210532538,0.210532538
OMP,call,100,110,0.02,0.75,1,50000,200,10,1,2.018829571,2.018789002,26.97691589,0.3637546801,0.3637546801
OMP,call,100,110,0.02,0.75,1,50000,200,25,1,1.98326531,1.983253519,26.99969831,0.386537096,0.386537096
OMP,call,100,110,0.02,0.75,1,50000,200,32,1,2.062484522,2.062464985,25.97423572,0.6389254874,-0.6389254874
OMP,call,100,110,0.02,0.75,1,50000,200,50,1,2.068633119,2.068617286,26.51192088,0.1012403279,-0.1012403279
OMP,call,100,110,0.02,0.75,1,50000,200,64,1,2.144195275,2.144163019,26.41663943,0.1965217775,-0.1965217775
