Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,100000,0,0,1,0.017234001,0.017209074,26.55838732,0.05385842859,-0.05385842859
Serial,call,100,110,0.02,0.75,1,250000,0,0,1,0.043040709,0.043020958,26.29117397,0.3210717769,-0.3210717769
Serial,call,100,110,0.02,0.75,1,320000,0,0,1,0.060170825,0.060135652,26.28461227,0.3276334846,-0.3276334846
Serial,call,100,110,0.02,0.75,1,500000,0,0,1,0.088988264,0.088969375,26.45839841,0.1538473369,-0.1538473369
Serial,call,100,110,0.02,0.75,1,640000,0,0,1,0.10931652,0.109280093,26.53556245,0.07668330352,-0.07668330352
Serial,call,100,110,0.02,0.75,1,1000000,0,0,1,0.165774721,0.165738551,26.61659838,0.004352629609,0.004352629609
Serial,call,100,110,0.02,0.75,1,2500000,0,0,1,0.419449405,0.419421882,26.65819714,0.04595139361,0.04595139361
Serial,call,100,110,0.02,0.75,1,3200000,0,0,1,0.512888174,0.51285691,26.65341019,0.04116444488,0.04116444488
Serial,call,100,110,0.02,0.75,1,5000000,0,0,1,0.766884857,0.766855174,26.62925041,0.01700466309,0.01700466309
Serial,call,100,110,0.02,0.75,1,6400000,0,0,1,1.004716321,1.004651155,26.61702163,0.004775879184,0.004775879184
Serial,call,100,110,0.02,0.75,1,10000000,0,0,1,1.611130329,1.61110806,26.65320657,0.04096082126,0.04096082126
Serial,call,100,110,0.02,0.75,1,25000000,0,0,1,4.077037335,4.077012118,26.61683178,0.004586029031,0.004586029031
Serial,call,100,110,0.02,0.75,1,32000000,0,0,1,5.257290724,5.257261412,26.59280418,0.01944156616,-0.01944156616
Serial,call,100,110,0.02,0.75,1,50000000,0,0,1,8.109820748,8.109784482,26.62314276,0.01089701259,0.01089701259
Serial,call,100,110,0.02,0.75,1,64000000,0,0,1,10.34123202,10.34119522,26.60672304,0.005522707977,-0.005522707977
Serial,call,100,110,0.02,0.75,1,100000000,0,0,1,15.99368439,15.99365135,26.61250042,0.0002546682982,0.0002546682982
OMP,call,100,110,0.02,0.75,1,100000,0,1,1,0.023628332,0.023561256,26.37647857,0.2357671795,-0.2357671795
OMP,call,100,110,0.02,0.75,1,100000,0,5,1,0.005495671,0.005461805,26.43530595,0.1769397971,-0.1769397971
OMP,call,100,110,0.02,0.75,1,100000,0,10,1,0.004556918,0.004540053,26.39910588,0.2131398742,-0.2131398742
OMP,call,100,110,0.02,0.75,1,100000,0,25,1,0.003524096,0.003491985,26.21608889,0.3961568645,-0.3961568645
OMP,call,100,110,0.02,0.75,1,100000,0,32,1,0.012129258,0.012085077,26.15846586,0.4537798906,-0.4537798906
OMP,call,100,110,0.02,0.75,1,100000,0,50,1,0.003265626,0.003252651,26.51689994,0.09534580906,-0.09534580906
OMP,call,100,110,0.02,0.75,1,100000,0,64,1,0.004045302,0.004030343,26.57691229,0.03533345667,-0.03533345667
OMP,call,100,110,0.02,0.75,1,100000,0,100,1,0.005439861,0.005426968,26.50455755,0.1076882047,-0.1076882047
OMP,call,100,110,0.02,0.75,1,250000,0,1,1,0.039254266,0.039243465,26.51515727,0.09708848273,-0.09708848273
OMP,call,100,110,0.02,0.75,1,250000,0,5,1,0.014811625,0.014778979,26.30097743,0.311268322,-0.311268322
OMP,call,100,110,0.02,0.75,1,250000,0,10,1,0.009615948,0.009588853,26.43151351,0.1807322354,-0.1807322354
OMP,call,100,110,0.02,0.75,1,250000,0,25,1,0.004889968,0.004870594,26.30079148,0.3114542674,-0.3114542674
OMP,call,100,110,0.02,0.75,1,250000,0,32,1,0.009680165,0.009664512,26.39261112,0.2196346344,-0.2196346344
OMP,call,100,110,0.02,0.75,1,250000,0,50,1,0.004328712,0.004314497,26.2007673,0.4114784525,-0.4114784525
OMP,call,100,110,0.02,0.75,1,250000,0,64,1,0.004678905,0.004667218,26.23138757,0.3808581814,-0.3808581814
OMP,call,100,110,0.02,0.75,1,250000,0,100,1,0.008010368,0.007985058,26.14184641,0.470399343,-0.470399343
OMP,call,100,110,0.02,0.75,1,320000,0,1,1,0.050659763,0.050644146,26.54167578,0.07056997309,-0.07056997309
OMP,call,100,110,0.02,0.75,1,320000,0,5,1,0.016755256,0.016732769,26.25541619,0.356829564,-0.356829564
