Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Serial,call,100,110,0.02,0.75,1,10000,0,0,1,0.003191765,0.00312429,26.38470482,0.2275409344,-0.2275409344
Serial,call,100,110,0.02,0.75,1,80000,0,0,1,0.018470061,0.01843163,26.77258531,0.16033956,0.16033956
Serial,call,100,110,0.02,0.75,1,100000,0,0,1,0.020860906,0.020823585,27.00271525,0.3904695008,0.3904695008
Serial,call,100,110,0.02,0.75,1,160000,0,0,1,0.033952608,0.03393378,26.86462241,0.2523766625,0.2523766625
Serial,call,100,110,0.02,0.75,1,320000,0,0,1,0.059811615,0.059782562,26.76978295,0.1575371978,0.1575371978
Serial,call,100,110,0.02,0.75,1,640000,0,0,1,0.112146412,0.112114071,26.78396916,0.1717234053,0.1717234053
Serial,call,100,110,0.02,0.75,1,800000,0,0,1,0.132358033,0.132344212,26.68289728,0.07065152947,0.07065152947
Serial,call,100,110,0.02,0.75,1,1000000,0,0,1,0.174101337,0.174063398,26.689453,0.07720724701,0.07720724701
Serial,call,100,110,0.02,0.75,1,1600000,0,0,1,0.262399086,0.262369115,26.71046721,0.09822146117,0.09822146117
Serial,call,100,110,0.02,0.75,1,3200000,0,0,1,0.551384662,0.55135299,26.71084477,0.09859901921,0.09859901921
Serial,call,100,110,0.02,0.75,1,6400000,0,0,1,1.045346857,1.045331852,26.58408152,0.02816422634,-0.02816422634
Serial,call,100,110,0.02,0.75,1,8000000,0,0,1,1.299538112,1.299521585,26.62361168,0.01136593473,0.01136593473
Serial,call,100,110,0.02,0.75,1,10000000,0,0,1,1.672960664,1.672924252,26.57418692,0.03805883338,-0.03805883338
Serial,call,100,110,0.02,0.75,1,16000000,0,0,1,2.634445112,2.6343735,26.60378345,0.008462301503,-0.008462301503
Serial,call,100,110,0.02,0.75,1,32000000,0,0,1,5.275662138,5.275625095,26.58662863,0.02561711872,-0.02561711872
Serial,call,100,110,0.02,0.75,1,64000000,0,0,1,10.56154411,10.56150382,26.61112301,0.001122741997,-0.001122741997
Serial,call,100,110,0.02,0.75,1,80000000,0,0,1,13.45927033,13.45923242,26.61361324,0.001367485272,0.001367485272
Serial,call,100,110,0.02,0.75,1,100000000,0,0,1,16.5943171,16.59427487,26.60273318,0.009512573147,-0.009512573147
OMP,call,100,110,0.02,0.75,1,10000,0,1,1,0.004195951,0.004113239,25.94885793,0.6633878182,-0.6633878182
OMP,call,100,110,0.02,0.75,1,10000,0,8,1,0.001244517,0.001220487,25.99671633,0.6155294175,-0.6155294175
OMP,call,100,110,0.02,0.75,1,10000,0,16,1,0.001818786,0.001789868,26.27057997,0.3416657812,-0.3416657812
OMP,call,100,110,0.02,0.75,1,10000,0,32,1,0.007197672,0.007171764,26.27057997,0.3416657812,-0.3416657812
OMP,call,100,110,0.02,0.75,1,10000,0,64,1,0.003415517,0.003396244,26.27057997,0.3416657812,-0.3416657812
OMP,call,100,110,0.02,0.75,1,80000,0,1,1,0.01457136,0.014554367,26.39642874,0.215817013,-0.215817013
OMP,call,100,110,0.02,0.75,1,80000,0,8,1,0.004029517,0.003995816,25.86078502,0.7514607277,-0.7514607277
OMP,call,100,110,0.02,0.75,1,80000,0,16,1,0.003173012,0.003140411,25.6982743,0.9139714459,-0.9139714459
OMP,call,100,110,0.02,0.75,1,80000,0,32,1,0.012805437,0.012782466,25.69120666,0.921039088,-0.921039088
OMP,call,100,110,0.02,0.75,1,80000,0,64,1,0.004960762,0.004936829,25.50047916,1.111766592,-1.111766592
OMP,call,100,110,0.02,0.75,1,100000,0,1,1,0.018582789,0.018562909,26.49934633,0.112899425,-0.112899425
OMP,call,100,110,0.02,0.75,1,100000,0,8,1,0.004500505,0.004470659,25.98372576,0.6285199915,-0.6285199915
OMP,call,100,110,0.02,0.75,1,100000,0,16,1,0.004168117,0.004139298,25.79193257,0.820313184,-0.820313184
OMP,call,100,110,0.02,0.75,1,100000,0,32,1,0.011822496,0.011786632,25.78369687,0.8285488814,-0.8285488814
OMP,call,100,110,0.02,0.75,1,100000,0,64,1,0.005152511,0.005129546,25.61744891,0.9947968365,-0.9947968365
OMP,call,100,110,0.02,0.75,1,160000,0,1,1,0.02815044,0.028132206,26.43578657,0.1764591779,-0.1764591779
OMP,call,100,110,0.02,0.75,1,160000,0,8,1,0.00715818,0.007140496,26.06841594,0.543829809,-0.543829809
OMP,call,100,110,0.02,0.75,1,160000,0,16,1,0.004216811,0.004188119,25.75433436,0.8579113853,-0.8579113853
OMP,call,100,110,0.02,0.75,1,160000,0,32,1,0.009910621,0.009883031,25.79695032,0.8152954321,-0.8152954321
OMP,call,100,110,0.02,0.75,1,160000,0,64,1,0.004497443,0.004481074,25.7065776,0.9056681478,-0.9056681478
OMP,call,100,110,0.02,0.75,1,320000,0,1,1,0.061628717,0.061614018,26.38481841,0.2274273437,-0.2274273437
OMP,call,100,110,0.02,0.75,1,320000,0,8,1,0.014115816,0.014090677,26.46216655,0.1500792007,-0.1500792007
OMP,call,100,110,0.02,0.75,1,320000,0,16,1,0.00930818,0.009271439,26.08233143,0.5299143194,-0.5299143194
OMP,call,100,110,0.02,0.75,1,320000,0,32,1,0.007813971,0.007785263,25.82231223,0.7899335238,-0.7899335238
OMP,call,100,110,0.02,0.75,1,320000,0,64,1,0.00540698,0.005375178,25.82451411,0.7877316411,-0.7877316411
OMP,call,100,110,0.02,0.75,1,640000,0,1,1,0.104435271,0.104415293,26.44313516,0.1691105911,-0.1691105911
OMP,call,100,110,0.02,0.75,1,640000,0,8,1,0.021617624,0.021598058,26.45624324,0.1560025142,-0.1560025142
OMP,call,100,110,0.02,0.75,1,640000,0,16,1,0.011741121,0.011720864,26.43329324,0.1789525119,-0.1789525119
OMP,call,100,110,0.02,0.75,1,640000,0,32,1,0.015903663,0.015870636,26.2663958,0.345849955,-0.345849955
OMP,call,100,110,0.02,0.75,1,640000,0,64,1,0.0091074,0.009081127,26.23421599,0.378029762,-0.378029762
OMP,call,100,110,0.02,0.75,1,800000,0,1,1,0.138691862,0.138658791,26.48293265,0.1293131009,-0.1293131009
OMP,call,100,110,0.02,0.75,1,800000,0,8,1,0.024574169,0.024525765,26.47292654,0.1393192079,-0.1393192079
OMP,call,100,110,0.02,0.75,1,800000,0,16,1,0.013078569,0.013063817,26.45857534,0.1536704139,-0.1536704139
OMP,call,100,110,0.02,0.75,1,800000,0,32,1,0.012353985,0.012337282,26.39118789,0.2210578648,-0.2210578648
OMP,call,100,110,0.02,0.75,1,800000,0,64,1,0.008114359,0.008101573,26.39307792,0.2191678317,-0.2191678317
OMP,call,100,110,0.02,0.75,1,1000000,0,1,1,0.159639941,0.159628602,26.46271372,0.1495320319,-0.1495320319
OMP,call,100,110,0.02,0.75,1,1000000,0,8,1,0.030194865,0.030158416,26.93444498,0.3221992338,0.3221992338
OMP,call,100,110,0.02,0.75,1,1000000,0,16,1,0.016805384,0.016774244,26.90629201,0.2940462633,0.2940462633
OMP,call,100,110,0.02,0.75,1,1000000,0,32,1,0.017061536,0.017013694,27.0769739,0.4647281528,0.4647281528
OMP,call,100,110,0.02,0.75,1,1000000,0,64,1,0.010740857,0.010722946,27.13782475,0.5255789999,0.5255789999
OMP,call,100,110,0.02,0.75,1,1600000,0,1,1,0.261012383,0.260997979,26.57636648,0.03587926676,-0.03587926676
OMP,call,100,110,0.02,0.75,1,1600000,0,8,1,0.040917245,0.04088323,26.73912496,0.126879214,0.126879214
OMP,call,100,110,0.02,0.75,1,1600000,0,16,1,0.023021845,0.023007833,26.83675194,0.224506191,0.224506191
OMP,call,100,110,0.02,0.75,1,1600000,0,32,1,0.016023027,0.016000704,26.92447735,0.312231604,0.312231604
OMP,call,100,110,0.02,0.75,1,1600000,0,64,1,0.012962545,0.012946077,27.02699724,0.4147514852,0.4147514852
OMP,call,100,110,0.02,0.75,1,3200000,0,1,1,0.51689069,0.516867507,26.58023326,0.03201249487,-0.03201249487
OMP,call,100,110,0.02,0.75,1,3200000,0,8,1,0.07855851,0.078516788,26.75804765,0.1458019022,0.1458019022
OMP,call,100,110,0.02,0.75,1,3200000,0,16,1,0.040577035,0.040556053,26.76714178,0.1548960313,0.1548960313
OMP,call,100,110,0.02,0.75,1,3200000,0,32,1,0.028859175,0.028832968,26.92883522,0.3165894694,0.3165894694
OMP,call,100,110,0.02,0.75,1,3200000,0,64,1,0.022830445,0.022817456,26.90827756,0.2960318111,0.2960318111
OMP,call,100,110,0.02,0.75,1,6400000,0,1,1,1.057632228,1.057620227,26.6319852,0.01973944641,0.01973944641
OMP,call,100,110,0.02,0.75,1,6400000,0,8,1,0.158928821,0.158895787,26.65508091,0.04283515757,0.04283515757
OMP,call,100,110,0.02,0.75,1,6400000,0,16,1,0.076267414,0.076228162,26.66645864,0.0542128873,0.0542128873
OMP,call,100,110,0.02,0.75,1,6400000,0,32,1,0.046472611,0.046417393,26.59210318,0.02014257196,-0.02014257196
OMP,call,100,110,0.02,0.75,1,6400000,0,64,1,0.04264265,0.042628706,26.64510699,0.03286123935,0.03286123935
OMP,call,100,110,0.02,0.75,1,8000000,0,1,1,1.260599166,1.260582747,26.64199292,0.02974717381,0.02974717381
OMP,call,100,110,0.02,0.75,1,8000000,0,8,1,0.176349522,0.176319206,26.51187673,0.1003690165,-0.1003690165
OMP,call,100,110,0.02,0.75,1,8000000,0,16,1,0.095145445,0.095111911,26.62361552,0.01136977294,0.01136977294
OMP,call,100,110,0.02,0.75,1,8000000,0,32,1,0.054064337,0.054038981,26.64906626,0.03682051345,0.03682051345
OMP,call,100,110,0.02,0.75,1,8000000,0,64,1,0.055695595,0.055671302,26.52561325,0.08663250329,-0.08663250329
