Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Hybrid,call,100,110,0.02,0.75,1,100,0,1001,1,0.237171321,0.000195626,26.70698005,0.09473429551,0.09473429551
Hybrid,call,100,110,0.02,0.75,1,100,0,2002,1,0.289828665,0.000306452,26.70691146,0.09466571169,0.09466571169
Hybrid,call,100,110,0.02,0.75,1,100,0,4004,1,0.302807951,0.00070192,26.70698005,0.09473429551,0.09473429551
Hybrid,call,100,110,0.02,0.75,1,100,0,6006,1,0.308133768,0.005130451,26.70698005,0.09473429551,0.09473429551
Hybrid,call,100,110,0.02,0.75,1,100,0,8008,1,0.323315175,0.01242252,26.70698005,0.09473429551,0.09473429551
Hybrid,call,100,110,0.02,0.75,1,800,0,1001,1,0.245259695,0.009976858,26.61900432,0.00675856766,0.00675856766
Hybrid,call,100,110,0.02,0.75,1,800,0,2002,1,0.29383017,0.006173466,26.61900432,0.00675856766,0.00675856766
Hybrid,call,100,110,0.02,0.75,1,800,0,4004,1,0.311257747,0.008340858,26.61900432,0.00675856766,0.00675856766
Hybrid,call,100,110,0.02,0.75,1,800,0,6006,1,0.307175506,0.007400566,26.61900432,0.00675856766,0.00675856766
Hybrid,call,100,110,0.02,0.75,1,800,0,8008,1,0.324422777,0.013616019,26.61900432,0.00675856766,0.00675856766
Hybrid,call,100,110,0.02,0.75,1,1000,0,1001,1,0.310121076,0.016293082,26.60882645,0.00341930449,-0.00341930449
Hybrid,call,100,110,0.02,0.75,1,1000,0,2002,1,0.302360344,0.009427437,26.60882645,0.00341930449,-0.00341930449
Hybrid,call,100,110,0.02,0.75,1,1000,0,4004,1,0.322455641,0.010212981,26.60882645,0.00341930449,-0.00341930449
Hybrid,call,100,110,0.02,0.75,1,1000,0,6006,1,0.320690908,0.012740608,26.60882645,0.00341930449,-0.00341930449
Hybrid,call,100,110,0.02,0.75,1,1000,0,8008,1,0.328303724,0.017655214,26.60882645,0.00341930449,-0.00341930449
Hybrid,call,100,110,0.02,0.75,1,1600,0,1001,1,0.286560635,0.042960703,26.61872687,0.006481124526,0.006481124526
Hybrid,call,100,110,0.02,0.75,1,1600,0,2002,1,0.311058461,0.024125555,26.61872687,0.006481124526,0.006481124526
Hybrid,call,100,110,0.02,0.75,1,1600,0,4004,1,0.323766907,0.01585947,26.61872687,0.006481124526,0.006481124526
Hybrid,call,100,110,0.02,0.75,1,1600,0,6006,1,0.328762567,0.016399622,26.61872687,0.006481124526,0.006481124526
Hybrid,call,100,110,0.02,0.75,1,1600,0,8008,1,0.327880172,0.017016491,26.61872687,0.006481124526,0.006481124526
Hybrid,call,100,110,0.02,0.75,1,3200,0,1001,1,0.463711994,0.167354616,26.61535275,0.003107003782,0.003107003782
