Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Hybrid,call,100,110,0.02,0.75,1,10000,200,1001,1,0.804903571,0.517778466,13.78088974,0.07088973953,0.07088973953
Hybrid,call,100,110,0.02,0.75,1,10000,200,2002,1,0.558792769,0.263208022,13.7364433,0.02644330202,0.02644330202
Hybrid,call,100,110,0.02,0.75,1,10000,200,4004,1,0.383953266,0.077454282,13.41083493,0.2991650691,-0.2991650691
Hybrid,call,100,110,0.02,0.75,1,10000,200,6006,1,0.385106719,0.074319648,11.62698309,2.083016912,-2.083016912
Hybrid,call,100,110,0.02,0.75,1,10000,200,8008,1,0.385204801,0.071755741,11.87476353,1.835236467,-1.835236467
Hybrid,call,100,110,0.02,0.75,1,80000,200,1001,1,4.221560016,3.98165489,13.72439207,0.01439206618,0.01439206618
Hybrid,call,100,110,0.02,0.75,1,80000,200,2002,1,2.35610275,2.053770694,14.02249203,0.3124920254,0.3124920254
Hybrid,call,100,110,0.02,0.75,1,80000,200,4004,1,0.62254464,0.321770956,13.61284021,0.09715979303,-0.09715979303
Hybrid,call,100,110,0.02,0.75,1,80000,200,6006,1,0.545258046,0.231885497,13.63016335,0.07983664745,-0.07983664745
Hybrid,call,100,110,0.02,0.75,1,80000,200,8008,1,0.507851971,0.193680465,12.71185685,0.998143154,-0.998143154
Hybrid,call,100,110,0.02,0.75,1,100000,200,1001,1,5.382090932,5.131821998,13.60093111,0.1090688916,-0.1090688916
Hybrid,call,100,110,0.02,0.75,1,100000,200,2002,1,2.930311684,2.623405025,13.93014554,0.2201455417,0.2201455417
Hybrid,call,100,110,0.02,0.75,1,100000,200,4004,1,0.666794106,0.368344945,13.57428,0.1357200043,-0.1357200043
Hybrid,call,100,110,0.02,0.75,1,100000,200,6006,1,0.572432477,0.257484458,13.14542349,0.5645765136,-0.5645765136
Hybrid,call,100,110,0.02,0.75,1,100000,200,8008,1,0.54967054,0.215301366,13.16579128,0.544208722,-0.544208722
Hybrid,call,100,110,0.02,0.75,1,160000,200,1001,1,8.385019631,8.100848288,13.88366192,0.1736619172,0.1736619172
Hybrid,call,100,110,0.02,0.75,1,160000,200,2002,1,4.444335129,4.149596105,14.07239248,0.3623924793,0.3623924793
Hybrid,call,100,110,0.02,0.75,1,160000,200,4004,1,0.876944075,0.570461567,13.61460428,0.09539571745,-0.09539571745
Hybrid,call,100,110,0.02,0.75,1,160000,200,6006,1,0.679529133,0.371536787,14.35760359,0.6476035878,0.6476035878
Hybrid,call,100,110,0.02,0.75,1,160000,200,8008,1,0.66429739,0.345533055,13.43928594,0.2707140578,-0.2707140578
Hybrid,call,100,110,0.02,0.75,1,320000,200,1001,1,16.64003854,16.35621157,13.787548,0.07754800063,0.07754800063
Hybrid,call,100,110,0.02,0.75,1,320000,200,2002,1,8.623281845,8.330688702,13.6501386,0.05986140488,-0.05986140488
Hybrid,call,100,110,0.02,0.75,1,320000,200,4004,1,1.412278564,1.109436372,13.72959404,0.01959403756,0.01959403756
Hybrid,call,100,110,0.02,0.75,1,320000,200,6006,1,1.01740951,0.716920494,13.76094582,0.050945821,0.050945821
Hybrid,call,100,110,0.02,0.75,1,320000,200,8008,1,0.956352806,0.644218969,13.66613152,0.04386847681,-0.04386847681
Hybrid,call,100,110,0.02,0.75,1,640000,200,1001,1,32.95538458,32.71912951,13.82743627,0.1174362696,0.1174362696
Hybrid,call,100,110,0.02,0.75,1,640000,200,2002,1,16.7193529,16.42941784,13.70042733,0.009572670146,-0.009572670146
Hybrid,call,100,110,0.02,0.75,1,640000,200,4004,1,2.467410237,2.162888798,13.9187411,0.2087410959,0.2087410959
Hybrid,call,100,110,0.02,0.75,1,640000,200,6006,1,1.808048372,1.499472571,13.87581086,0.1658108552,0.1658108552
Hybrid,call,100,110,0.02,0.75,1,640000,200,8008,1,1.663620799,1.348883365,13.79952123,0.08952123494,0.08952123494
Hybrid,call,100,110,0.02,0.75,1,800000,200,1001,1,40.09336168,39.85576403,13.76543011,0.05543011327,0.05543011327
Hybrid,call,100,110,0.02,0.75,1,800000,200,2002,1,20.85388787,20.5601094,13.70084607,0.009153925503,-0.009153925503
Hybrid,call,100,110,0.02,0.75,1,800000,200,4004,1,2.940836714,2.634319426,13.83407666,0.1240766583,0.1240766583
Hybrid,call,100,110,0.02,0.75,1,800000,200,6006,1,2.15272875,1.832982525,13.86168272,0.1516827245,0.1516827245
Hybrid,call,100,110,0.02,0.75,1,800000,200,8008,1,1.840670073,1.525349738,13.95249941,0.2424994103,0.2424994103
Hybrid,call,100,110,0.02,0.75,1,1000000,200,1001,1,51.24182758,50.9634844,13.81227938,0.1022793769,0.1022793769
Hybrid,call,100,110,0.02,0.75,1,1000000,200,2002,1,26.08130131,25.79082427,13.68362209,0.02637791184,-0.02637791184
Hybrid,call,100,110,0.02,0.75,1,1000000,200,4004,1,3.648545244,3.341658735,14.02143971,0.3114397104,0.3114397104
Hybrid,call,100,110,0.02,0.75,1,1000000,200,6006,1,2.692064218,2.383744941,13.5153577,0.1946422993,-0.1946422993
Hybrid,call,100,110,0.02,0.75,1,1000000,200,8008,1,2.166581686,1.852842891,13.59571741,0.1142825886,-0.1142825886
Hybrid,call,100,110,0.02,0.75,1,1600000,200,1001,1,81.07990568,80.80258826,13.76793253,0.05793253369,0.05793253369
Hybrid,call,100,110,0.02,0.75,1,1600000,200,2002,1,41.59222446,41.29798369,13.72198636,0.0119863614,0.0119863614
Hybrid,call,100,110,0.02,0.75,1,1600000,200,4004,1,5.597145092,5.290877623,13.97404202,0.2640420163,0.2640420163
Hybrid,call,100,110,0.02,0.75,1,1600000,200,6006,1,3.601073586,3.283379095,13.80025671,0.09025670669,0.09025670669
Hybrid,call,100,110,0.02,0.75,1,1600000,200,8008,1,3.167462823,2.853658247,13.7068175,0.00318249883,-0.00318249883
Hybrid,call,100,110,0.02,0.75,1,3200000,200,1001,1,163.5896908,163.3106794,13.78177782,0.07177782455,0.07177782455
Hybrid,call,100,110,0.02,0.75,1,3200000,200,2002,1,83.06283011,82.77531251,13.74643485,0.03643485125,0.03643485125
Hybrid,call,100,110,0.02,0.75,1,3200000,200,4004,1,10.9698342,10.65813789,13.72932723,0.01932723216,0.01932723216
Hybrid,call,100,110,0.02,0.75,1,3200000,200,6006,1,6.957194484,6.632278751,13.77206552,0.06206552443,0.06206552443
Hybrid,call,100,110,0.02,0.75,1,3200000,200,8008,1,6.322463533,6.010968488,13.5325182,0.1774817956,-0.1774817956
Hybrid,call,100,110,0.02,0.75,1,6400000,200,1001,1,327.1758051,326.897245,13.73794789,0.02794789218,0.02794789218
Hybrid,call,100,110,0.02,0.75,1,6400000,200,2002,1,164.2314187,163.9381584,13.78452513,0.07452512502,0.07452512502
Hybrid,call,100,110,0.02,0.75,1,6400000,200,4004,1,21.29502889,20.99829345,13.74974538,0.03974537709,0.03974537709
