Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,Nr_of_assets,T_overall,T_calculation,Result,Abs_Error,Error
Hybrid,call,100,100,0.1,0.2,1,10000,0,1001,4,0.300768507,0.022267791,12.14881219,0.2488121874,0.2488121874
Hybrid,call,100,100,0.1,0.2,1,10000,0,2002,4,0.305145202,0.013601051,12.3772075,0.4772075033,0.4772075033
Hybrid,call,100,100,0.1,0.2,1,10000,0,4004,4,0.31335346,0.013431486,11.71434978,0.1856502195,-0.1856502195
Hybrid,call,100,100,0.1,0.2,1,10000,0,6006,4,0.322680413,0.009976749,11.70322374,0.1967762572,-0.1967762572
Hybrid,call,100,100,0.1,0.2,1,10000,0,8008,4,0.331202028,0.016934704,11.1321352,0.7678648006,-0.7678648006
Hybrid,call,100,100,0.1,0.2,1,80000,0,1001,4,0.413017632,0.177341888,11.88474134,0.01525865533,-0.01525865533
Hybrid,call,100,100,0.1,0.2,1,80000,0,2002,4,0.393604206,0.103709541,11.86962921,0.03037079077,-0.03037079077
Hybrid,call,100,100,0.1,0.2,1,80000,0,4004,4,0.354316626,0.046577876,11.86720187,0.03279812504,-0.03279812504
Hybrid,call,100,100,0.1,0.2,1,80000,0,6006,4,0.35589723,0.041110674,12.01498933,0.1149893279,0.1149893279
Hybrid,call,100,100,0.1,0.2,1,80000,0,8008,4,0.358449685,0.041543714,12.03070573,0.1307057335,0.1307057335
Hybrid,call,100,100,0.1,0.2,1,100000,0,1001,4,0.521760124,0.228305944,11.95470457,0.05470456758,0.05470456758
Hybrid,call,100,100,0.1,0.2,1,100000,0,2002,4,0.427500899,0.132301082,11.90756785,0.007567850757,0.007567850757
Hybrid,call,100,100,0.1,0.2,1,100000,0,4004,4,0.369459345,0.059677734,11.9475797,0.04757970318,0.04757970318
Hybrid,call,100,100,0.1,0.2,1,100000,0,6006,4,0.342333841,0.037891849,11.95649214,0.05649213743,0.05649213743
Hybrid,call,100,100,0.1,0.2,1,100000,0,8008,4,0.353502422,0.041149906,11.96308149,0.06308148982,0.06308148982
Hybrid,call,100,100,0.1,0.2,1,160000,0,1001,4,0.631919128,0.350216135,11.95712034,0.05712033926,0.05712033926
Hybrid,call,100,100,0.1,0.2,1,160000,0,2002,4,0.48531832,0.193733206,11.95464022,0.05464022093,0.05464022093
